1,Cincinnati Archbishop Moeller (OH),48.479,48.447,1.455,38.424,-6.054,(OH),55
2,Euless Trinity (TX),47.688,47.595,1.364,38.855,-7.942,(TX),50
3,Austin Westlake (TX),46.875,46.460,1.263,39.506,-6.257,(TX),53
4,Fort Lauderdale Saint Thomas Aquinas (FL),46.320,46.076,1.264,37.008,-7.058,(FL),50
5,Hoover (AL),45.413,45.443,1.379,36.626,-7.463,(AL),51
6,Midland Legacy (TX),44.474,43.961,1.212,38.370,-3.827,(TX),50
7,Houston Galena Park North Shore (TX),43.456,43.639,1.228,36.329,-4.889,(TX),53
8,Dallas Highland Park (TX),42.455,42.360,1.224,35.948,-3.473,(TX),86
9,Valdosta (GA),42.131,42.137,1.155,34.903,-5.230,(GA),52
10,Arlington Lamar (TX),41.955,42.326,1.198,36.105,-4.694,(TX),53
11,Abilene Cooper (TX),40.868,40.604,1.138,35.478,-3.171,(TX),63
12,DeSoto (TX),39.842,39.656,1.010,36.603,-1.493,(TX),54
13,Massillon Washington (OH),39.578,39.371,1.152,32.931,-1.425,(OH),87
14,Temple (TX),39.440,39.476,.961,33.406,-2.507,(TX),59
15,Louisville Trinity (KY),39.375,39.143,1.035,32.793,-3.638,(KY),52
16,Lakewood Saint Edward (OH),39.102,38.841,1.138,31.742,-3.938,(OH),58
17,Honolulu Saint Louis (HI),38.984,38.709,1.268,34.964,-1.143,(HI),55
18,Lakeland (FL),38.552,38.608,1.085,32.386,-2.820,(FL),64
19,Monroe Neville (LA),38.505,38.512,1.118,31.312,-3.493,(LA),57
20,Dallas Lake Highlands (TX),38.431,38.402,1.053,34.228,-2.590,(TX),56
21,Muskegon (MI),38.214,38.297,.916,32.312,-1.201,(MI),66
22,Tyler (TX),37.847,37.532,1.019,33.039,-1.746,(TX),55
23,Abilene (TX),37.219,36.965,1.012,32.142,-2.368,(TX),114
24,Longview (TX),37.074,37.137,1.012,32.252,-2.130,(TX),74
25,Phenix City Central (AL),36.929,36.777,.995,31.785,-3.026,(AL),51
26,Athens Clarke Central (GA),36.816,36.938,1.030,32.788,-2.750,(GA),53
27,West Orange-Stark (TX),36.707,36.937,.982,30.407,-3.210,(TX),53
28,Amarillo (TX),36.587,36.893,1.027,31.304,-2.112,(TX),107
29,Canton McKinley (OH),36.367,36.364,.986,31.255,-.196,(OH),123
30,Destrehan (LA),36.346,36.837,1.051,31.577,-2.147,(LA),54
31,Lufkin (TX),36.268,36.337,.977,32.852,-.852,(TX),71
32,Harrisburg (PA),36.162,36.024,.916,31.786,-1.202,(PA),54
33,Duncan Byrnes (SC),36.006,35.597,.885,32.137,-1.953,(SC),59
34,Rockwall (TX),35.697,35.970,.847,32.765,.291,(TX),50
35,New Orleans Jesuit (LA),35.623,35.744,.948,29.567,-2.790,(LA),63
36,Dallas Carter (TX),35.525,35.479,.959,31.753,-2.825,(TX),53
37,Texarkana Texas (TX),35.454,35.709,1.054,30.321,-1.869,(TX),56
38,Montgomery Lee (AL),35.407,35.226,.970,30.501,-3.094,(AL),50
39,Birmingham Mountain Brook (AL),35.270,35.293,1.007,30.433,-3.608,(AL),54
40,Hyattsville DeMatha Catholic (MD),35.195,35.176,1.060,29.665,-2.032,(MD),58
41,Katy (TX),35.118,35.089,.823,31.277,-.931,(TX),62
42,Midwest City (OK),35.110,34.591,.946,30.680,-1.500,(OK),55
43,Phillips Exeter Academy (NH),34.925,34.915,.931,26.910,-.388,(NH),86
44,Gaffney (SC),34.803,34.610,1.056,31.166,-.935,(SC),69
45,Norman (OK),34.721,34.537,.776,30.280,-.188,(OK),62
46,Indianapolis Ben Davis (IN),34.685,34.948,.782,31.823,.131,(IN),59
47,Fort Wayne Snider (IN),34.681,34.318,.868,31.985,-.212,(IN),52
48,Indianapolis Cathedral (IN),34.572,34.540,.998,29.028,-1.560,(IN),61
49,Cincinnati Princeton (OH),34.557,34.345,.890,30.715,-.235,(OH),59
50,Indianapolis Warren Central (IN),34.313,33.934,.820,30.515,-.720,(IN),61
51,Cincinnati La Salle (OH),34.132,33.670,.867,30.013,-1.409,(OH),55
52,Louisville Saint Xavier (KY),34.057,34.137,.863,28.395,-2.181,(KY),62
53,La Puente Bishop Amat (CA),34.014,33.634,.999,31.147,.826,(CA),53
54,Bradenton Manatee (FL),33.841,33.996,.796,30.801,.075,(FL),77
