1,Abilene (TX),37.219,36.965,1.012,32.142,-2.368,(TX),114
2,Amarillo (TX),36.587,36.893,1.027,31.304,-2.112,(TX),107
3,Canton McKinley (OH),36.367,36.364,.986,31.255,-.196,(OH),123
4,Cleveland Saint Ignatius (OH),29.904,29.565,.840,27.645,2.354,(OH),100
5,Andover Phillips Academy (MA),29.540,29.573,.787,25.393,-.397,(MA),139
6,Easton Area (PA),29.174,29.128,.852,26.345,2.661,(PA),112
7,Corsicana (TX),28.918,28.745,.750,27.462,2.326,(TX),103
8,Brownwood (TX),28.867,28.863,.713,28.268,3.201,(TX),108
9,Austin (TX),28.427,28.229,.654,27.939,3.130,(TX),115
10,Chattanooga Baylor (TN),28.224,27.875,.733,25.375,2.678,(TN),110
11,Bryan (TX),27.657,27.882,.657,26.190,2.364,(TX),105
12,Chattanooga McCallie (TN),26.844,26.722,.669,24.888,2.931,(TN),109
13,Everett (MA),25.890,25.818,.701,25.500,3.314,(MA),104
14,Atlanta Marist (GA),25.741,25.825,.650,25.055,3.290,(GA),108
15,Bessemer City Jess Lanier (AL),25.053,25.084,.613,24.187,2.208,(AL),108
16,Cleburne (TX),24.878,24.800,.582,26.574,5.232,(TX),103
17,Aliquippa (PA),24.697,24.682,.654,23.865,4.372,(PA),112
18,Biloxi (MS),24.659,24.490,.566,24.587,3.211,(MS),101
19,College Park Woodward Academy (GA),24.602,24.497,.525,24.324,3.194,(GA),108
20,Brockton (MA),23.578,23.632,.619,24.138,5.219,(MA),120
21,Ann Arbor Pioneer (MI),22.659,22.906,.558,24.390,6.383,(MI),111
22,Arlington (TX),22.602,22.648,.538,24.789,6.585,(TX),107
23,Beaver Falls (PA),22.267,22.003,.620,22.776,5.908,(PA),114
24,Bethlehem Liberty (PA),22.049,22.051,.560,22.728,5.733,(PA),103
25,Butler (PA),21.802,22.102,.610,21.576,5.244,(PA),112
26,Altoona (PA),21.450,21.319,.609,22.858,6.700,(PA),115
27,Hightstown The Peddie School (NJ),21.440,21.339,.505,22.004,5.267,(NJ),102
28,Elkhart Central (IN),21.255,21.431,.428,23.914,6.601,(IN),101
29,Alliance (OH),21.207,21.306,.495,24.482,7.996,(OH),118
30,Ansonia (CT),20.466,19.711,.441,25.838,8.273,(CT),104
31,Haverford School (PA),20.461,20.517,.526,22.952,7.051,(PA),102
32,Berwick (PA),19.813,19.444,.478,22.361,7.575,(PA),115
33,Alexander City Benjamin Russell (AL),19.492,19.791,.393,23.121,6.119,(AL),101
34,Belton (TX),19.236,19.416,.322,22.456,7.342,(TX),109
35,Ada (OK),18.972,18.813,.297,22.996,5.969,(OK),105
36,Asheville (NC),18.489,18.325,.368,23.134,7.991,(NC),102
37,Bartlesville (OK),18.310,18.242,.315,21.796,6.601,(OK),100
38,Barberton (OH),18.287,18.269,.367,21.931,8.199,(OH),109
39,Brenham (TX),18.226,18.341,.306,21.702,8.037,(TX),106
40,Bay City (TX),18.083,18.124,.310,21.379,7.263,(TX),104
41,Blairstown Blair Academy (NJ),17.999,18.099,.402,21.317,8.208,(NJ),121
42,Altus (OK),17.929,17.841,.364,21.879,7.842,(OK),102
43,Coatesville (PA),17.877,17.646,.428,21.334,8.215,(PA),110
44,Elizabeth (NJ),17.836,17.817,.437,20.608,7.431,(NJ),107
45,Big Spring (TX),17.592,17.610,.367,23.102,8.931,(TX),105
46,Anniston (AL),17.587,17.655,.359,21.088,6.437,(AL),103
47,Cameron C.H. Yoe (TX),16.905,17.013,.256,20.573,8.484,(TX),107
48,Bellaire (OH),16.730,16.677,.302,20.563,7.524,(OH),114
49,Augusta Academy of Richmond County (GA),16.465,16.633,.345,21.048,7.188,(GA),115
50,Battle Creek Central (MI),16.313,16.446,.280,21.503,9.748,(MI),116
51,Butte (MT),16.286,16.549,.236,19.813,7.615,(MT),110
52,Atlantic City (NJ),15.917,16.052,.398,18.957,7.594,(NJ),125
53,Fort Washington Germantown Academy (PA),15.915,15.709,.348,21.421,9.941,(PA),109
54,Ambridge (PA),15.787,15.967,.388,19.696,8.800,(PA),102
55,Auburn (AL),15.658,15.732,.247,19.693,7.370,(AL),106
56,Connellsville (PA),15.634,15.394,.392,20.619,9.945,(PA),106
57,Athens (TX),15.410,15.344,.245,21.266,9.616,(TX),107
58,Carlisle (PA),15.206,15.157,.357,19.632,9.364,(PA),108
59,Bluefield (WV),15.033,15.177,.283,21.361,9.160,(WV),101
60,Baltimore Calvert Hall (MD),14.821,14.842,.261,18.866,8.390,(MD),101
61,Ashland Blazer (KY),14.813,14.834,.185,21.528,10.511,(KY),120
62,Bloomfield (NJ),14.812,15.047,.345,18.857,9.015,(NJ),118
63,Abington (PA),14.797,14.852,.300,19.748,9.501,(PA),109
64,Cartersville (GA),14.791,14.957,.182,20.560,8.784,(GA),101
65,Andover (MA),14.754,14.659,.528,25.785,16.076,(MA),102
66,Baltimore Gilman (MD),14.430,13.917,.352,19.399,9.261,(MD),102
67,Coal Township Shamokin Area (PA),14.414,14.484,.317,18.643,9.126,(PA),117
68,Canonsburg Canon-McMillan (PA),14.413,14.693,.255,19.206,9.102,(PA),102
69,Beaver Area (PA),14.343,14.472,.281,18.950,9.063,(PA),117
70,Attalla Etowah (AL),14.339,14.366,.233,19.740,8.671,(AL),111
71,Billings Senior (MT),14.024,14.089,.150,21.093,9.795,(MT),108
72,Boise (ID),13.888,14.014,.267,20.726,10.310,(ID),108
73,Camden (NJ),13.631,13.449,.250,17.646,8.655,(NJ),118
74,Benton Harbor (MI),13.615,13.764,.155,20.390,10.181,(MI),104
75,DuBois (PA),13.565,13.689,.252,20.255,11.296,(PA),101
76,Bristol Tennessee (TN),13.401,13.477,.250,18.702,9.675,(TN),101
77,Ardmore Lower Merion (PA),12.594,12.537,.272,18.332,10.857,(PA),121
78,Brownsville Haywood (TN),12.593,12.869,.042,19.930,11.317,(TN),106
79,Athens (AL),12.583,12.707,.091,19.509,10.394,(AL),108
80,Bainbridge (GA),12.445,12.296,.200,18.479,9.329,(GA),105
81,Allentown William Allen (PA),12.366,12.424,.272,18.538,11.139,(PA),126
82,Columbus (GA),12.175,12.258,.133,19.274,10.279,(GA),103
83,Chambersburg (PA),12.048,12.054,.210,18.658,11.134,(PA),104
