"TeamName","State","URL","Date","Location","Opponent","WL","Score","OpponentURL","ScrapedAt","Status"
"Albion Edwards County-Grayville (IL)","(IL)","https://www.maxpreps.com/il/albion/edwards-county-lions/football/schedule/","10/4","@","Sesser-Valier/Waltonville","L","38-0","https://www.maxpreps.com/il/sesser/sesser-valier-waltonville-red-devils/football/","2025-02-10T17:05:43.253796","Processed"
"Albion Edwards County-Grayville (IL)","(IL)","https://www.maxpreps.com/il/albion/edwards-county-lions/football/schedule/","10/11","vs","Carmi-White County","L","48-6","https://www.maxpreps.com/il/carmi/carmi-white-county-bulldogs/football/","2025-02-10T17:05:43.299736","Processed"
"Albion Edwards County-Grayville (IL)","(IL)","https://www.maxpreps.com/il/albion/edwards-county-lions/football/schedule/","10/18","@","CZRHS","W","18-7","https://www.maxpreps.com/il/christopher/christopher-zeigler-royalton-bearcats/football/","2025-02-10T17:05:43.358031","Processed"
"Albion Edwards County-Grayville (IL)","(IL)","https://www.maxpreps.com/il/albion/edwards-county-lions/football/schedule/","10/25","vs","Fairfield","L","36-14","https://www.maxpreps.com/il/fairfield/fairfield-mules/football/","2025-02-10T17:05:43.402648","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","8/30","@","Monmouth-Roseville","L","50-14","https://www.maxpreps.com/il/monmouth/monmouth-roseville-titans/football/","2025-02-10T17:05:53.594678","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","9/6","vs","Sherrard","W","34-14","https://www.maxpreps.com/il/sherrard/sherrard-tigers/football/","2025-02-10T17:05:53.642220","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","9/13","@","Orion","W","56-41","https://www.maxpreps.com/il/orion/orion-chargers/football/","2025-02-10T17:05:53.691106","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","9/20","vs","Riverdale","W","36-7","https://www.maxpreps.com/il/port-byron/riverdale-rams/football/","2025-02-10T17:05:53.743292","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","9/27","@","Erie-Prophetstown","L","20-14","https://www.maxpreps.com/il/erie/erie-prophetstown-panthers/football/","2025-02-10T17:05:53.789190","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","10/4","vs","Newman Central Catholic","L","29-16","https://www.maxpreps.com/il/sterling/newman-central-catholic-comets/football/","2025-02-10T17:05:53.838894","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","10/11","@","Rockridge","L","34-6","https://www.maxpreps.com/il/taylor-ridge/rockridge-rockets/football/","2025-02-10T17:05:53.885681","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","10/18","@","Princeton","L","57-20","https://www.maxpreps.com/il/princeton/princeton-tigers/football/","2025-02-10T17:05:53.933056","Processed"
"Aledo Mercer County (IL)","(IL)","https://www.maxpreps.com/il/aledo/mercer-county-golden-eagles/football/schedule/","10/25","vs","Mendota","W","56-14","https://www.maxpreps.com/il/mendota/mendota-trojans/football/","2025-02-10T17:05:53.983665","Processed"
"Algonquin Jacobs (IL)","(IL)","https://www.maxpreps.com/il/algonquin/jacobs-golden-eagles/football/schedule/","8/30","vs","Prairie Ridge","L","17-0","https://www.maxpreps.com/il/crystal-lake/prairie-ridge-wolves/football/","2025-02-10T17:06:06.323693","Processed"
