Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,Battle Creek Pennfield,Ann Arbor Father Gabriel Richard,0-10,Processed,2025-02-01T18:17:14.185924
,Football,Bay City John Glenn,Essexville Garber,39-8,Processed,2025-02-01T18:17:14.227924
,Football,Bay City Western,Midland,9-44,Processed,2025-02-01T18:17:14.269440
,Football,Beal City,McBain,25-29,Processed,2025-02-01T18:17:14.308440
,Football,Belleville,Livonia Churchill,65-0,Processed,2025-02-01T18:17:14.351953
,Football,Berkley,Pontiac,41-6,Processed,2025-02-01T18:17:14.391954
,Football,Berrien Springs,Traverse City St Francis,28-14,Processed,2025-02-01T18:17:14.432109
,Football,Birch Run,Mt Morris,7-27,Processed,2025-02-01T18:17:14.474791
,Football,Birmingham Seaholm,Bloomfield Hills,37-0,Processed,2025-02-01T18:17:14.519790
,Football,Bonduel (WI),Kewaunee (WI),25-21,Processed,2025-02-01T18:17:14.560304
,Football,Boyne City,Charlevoix,45-21,Processed,2025-02-01T18:17:14.605305
,Football,Bridgeport,Flint New Standard Academy,24-18 (OT),Processed,2025-02-01T18:17:14.652820
,Football,Brownstown Woodhaven,Allen Park,0-21,Processed,2025-02-01T18:17:14.698820
,Football,Buchanan,Ottawa Lake Whiteford,16-44,Processed,2025-02-01T18:17:14.745826
,Football,Burton Bendle,Flint Beecher,50-0,Processed,2025-02-01T18:17:14.794340
,Football,Caledonia,East Kentwood,35-41,Processed,2025-02-01T18:17:14.836351
,Football,"Calumet
Homecoming",Negaunee,0-29,Processed,2025-02-01T18:17:14.876857
,Football,Canton McKinley (OH),Canton Glenoak (OH),28-6,Processed,2025-02-01T18:17:14.919858
,Football,Carleton Airport,Flat Rock,14-35,Processed,2025-02-01T18:17:14.962560
,Football,Caro,Bad Axe,1-0 Forfeit,Processed,2025-02-01T18:17:15.006559
,Football,Carrollton,Hemlock,24-43,Processed,2025-02-01T18:17:15.051075
,Football,Cassopolis,White Pigeon,0-65,Processed,2025-02-01T18:17:15.094081
,Football,Center Line,Marysville,6-48,Processed,2025-02-01T18:17:15.136081
,Football,Cheboygan,Elk Rapids,30-23,Processed,2025-02-01T18:17:15.176599
,Football,Chelsea,Pinckney,7-0,Processed,2025-02-01T18:17:15.217792
,Football,Chesaning,New Lothrop,47-22,Processed,2025-02-01T18:17:15.259303
,Football,Clare,Midland Bullock Creek,53-14,Processed,2025-02-01T18:17:15.300305
,Football,Clarkston,Oxford,23-15,Processed,2025-02-01T18:17:15.340308
,Football,Clarkston Everest Collegiate,Waterford Our Lady of the Lakes,35-0,Processed,2025-02-01T18:17:15.377822
,Football,Clawson,Madison Heights Madison,28-18,Processed,2025-02-01T18:17:15.417824
,Football,Cleveland Heights (OH),Brunswick (OH),20-17,Processed,2025-02-01T18:17:15.459344
,Football,Clinton,Adrian Madison,30-0,Processed,2025-02-01T18:17:15.500828
,Football,Clinton Township Chippewa Valley,Sterling Heights Stevenson,7-24,Processed,2025-02-01T18:17:15.542369
,Football,Comstock,Decatur,6-55,Processed,2025-02-01T18:17:15.583815
,Football,Comstock Park,Fruitport,27-30,Processed,2025-02-01T18:17:15.625973
,Football,Corunna,Ortonville Brandon,49-21,Processed,2025-02-01T18:17:15.668496
,Football,Croswell-Lexington,Richmond,41-10,Processed,2025-02-01T18:17:15.708495
,Football,Dansville,Saranac,6-54,Processed,2025-02-01T18:17:15.748497
,Football,Davison,Traverse City Central,49-14,Processed,2025-02-01T18:17:15.790011
,Football,Dearborn Edsel Ford,Wyandotte Roosevelt,28-27,Processed,2025-02-01T18:17:15.833011
,Football,Dearborn Fordson,Wayne Memorial,51-0,Processed,2025-02-01T18:17:15.876531
,Football,Dearborn Heights Annapolis,Dearborn Heights Crestwood,0-69,Processed,2025-02-01T18:17:15.918533
,Football,Detroit Cass Tech,Detroit Mumford,71-0,Processed,2025-02-01T18:17:15.962697
,Football,Detroit Catholic Central,Harper Woods,45-12,Processed,2025-02-01T18:17:16.011703
,Football,Detroit Country Day,Detroit Loyola,42-18,Processed,2025-02-01T18:17:16.056401
,Football,Detroit Denby,Detroit Northwestern,48-0,Processed,2025-02-01T18:17:16.104003
,Football,Detroit Lincoln-King,Detroit Community,60-0,Processed,2025-02-01T18:17:16.151312
,Football,Detroit Martin Luther King,Detroit Renaissance,49-0,Processed,2025-02-01T18:17:16.194848
,Football,Detroit Old Redford,Arts & Technology Academy of Pontiac,1-0 Forfeit,Processed,2025-02-01T18:17:16.235447
,Football,Detroit Pershing,Detroit Osborn,36-0,Processed,2025-02-01T18:17:16.273772
,Football,Detroit U of D Jesuit,Windsor Holy Names (CN),42-0,Processed,2025-02-01T18:17:16.316372
,Football,Dowagiac,Parchment,48-16,Processed,2025-02-01T18:17:16.357893
,Football,Dundee,Onsted,31-34,Processed,2025-02-01T18:17:16.394893
,Football,Durand,Montrose,14-20,Processed,2025-02-01T18:17:16.435893
,Football,East Lansing,Grand Ledge,38-21,Processed,2025-02-01T18:17:16.476766
,Football,Eastpointe,St Clair Shores South Lake,0-56,Processed,2025-02-01T18:17:16.515765
,Football,Edon (OH),Castalia Margaretta (OH),41-7,Processed,2025-02-01T18:17:16.559840
,Football,Elkton-Pigeon-Bay Port Laker,Cass City,8-28,Processed,2025-02-01T18:17:16.601840
,Football,Escanaba,Petoskey,19-44,Processed,2025-02-01T18:17:16.640844
,Football,Evart,Roscommon,52-13,Processed,2025-02-01T18:17:16.680358
,Football,Farwell,Beaverton,10-48,Processed,2025-02-01T18:17:16.722359
,Football,Flint Hamady,Muskegon Mona Shores,12-49,Processed,2025-02-01T18:17:16.763880
,Football,Flint Kearsley,Flushing,0-35,Processed,2025-02-01T18:17:16.804880
,Football,Flint Southwestern,Flint Powers Catholic,8-56,Processed,2025-02-01T18:17:16.844886
,Football,Fowler,Perry,46-0,Processed,2025-02-01T18:17:16.889403
,Football,Frankenmuth,Alma,48-7,Processed,2025-02-01T18:17:16.931401
,Football,Frankfort,Benzie Central,18-2,Processed,2025-02-01T18:17:16.975921
,Football,Freeland,Saginaw Swan Valley,34-0,Processed,2025-02-01T18:17:17.019921
,Football,Fremont,Ludington,12-43,Processed,2025-02-01T18:17:17.063442
,Football,Genesee,Burton Atherton,6-53,Processed,2025-02-01T18:17:17.106798
,Football,Gibraltar Carlson,Taylor,42-7,Processed,2025-02-01T18:17:17.146803
,Football,Gladstone,Kingsford,0-42,Processed,2025-02-01T18:17:17.187319
,Football,Goodrich,Lake Fenton,62-0,Processed,2025-02-01T18:17:17.228316
,Football,Grand Haven,Holland West Ottawa,26-14,Processed,2025-02-01T18:17:17.266839
,Football,Grand Rapids Christian,East Grand Rapids,6-42,Processed,2025-02-01T18:17:17.306837
,Football,Grand Rapids Forest Hills Northern,Grand Rapids Forest Hills Central,14-17,Processed,2025-02-01T18:17:17.350851
,Football,Grand Rapids Kenowa Hills,Allendale,34-20,Processed,2025-02-01T18:17:17.403369
,Football,Grand Rapids Northview,Sparta,42-14,Processed,2025-02-01T18:17:17.443372
,Football,Grand Rapids Ottawa Hills,Wyoming,16-32,Processed,2025-02-01T18:17:17.482889
,Football,Grand Rapids West Catholic,Grand Rapids South Christian,38-41,Processed,2025-02-01T18:17:17.524026
,Football,Grayling,Kingsley,21-58,Processed,2025-02-01T18:17:17.563541
,Football,"Greenville
Hall of Fame",Cedar Springs,33-36,Processed,2025-02-01T18:17:17.605541
,Football,Grosse Ile,Monroe St Mary Catholic Central,0-49,Processed,2025-02-01T18:17:17.646828
,Football,Gwinn,L'Anse,33-6,Processed,2025-02-01T18:17:17.686342
,Football,Hamilton,Grand Rapids Union,49-0,Processed,2025-02-01T18:17:17.726342
,Football,Hamilton St Thomas More (CN),Hamilton St. Mary Catholic (CN),38-6,Processed,2025-02-01T18:17:17.764860
,Football,Hammond Morton (IN),Byron Center,28-54,Processed,2025-02-01T18:17:17.805858
,Football,Hamtramck,Grosse Pointe Woods University Liggett,0-47,Processed,2025-02-01T18:17:17.847862
,Football,Hanover-Horton,Grass Lake,49-21,Processed,2025-02-01T18:17:17.890378
,Football,Harbor Beach,Ubly,45-6,Processed,2025-02-01T18:17:17.934379
,Football,Harper Woods Chandler Park,Detroit University Prep Science & Math,18-12,Processed,2025-02-01T18:17:17.975896
,Football,Hart,Shelby,30-6,Processed,2025-02-01T18:17:18.019896
,Football,Hartford,Centreville,6-38,Processed,2025-02-01T18:17:18.064417
,Football,Hartland,Plymouth,35-14,Processed,2025-02-01T18:17:18.108417
,Football,Hillsdale,Blissfield,14-24,Processed,2025-02-01T18:17:18.148681
,Football,Holland Christian,Holland,38-12,Processed,2025-02-01T18:17:18.191223
,Football,Holland Springfield (OH),Bowling Green (OH),7-34,Processed,2025-02-01T18:17:18.236459
,Football,Holly,Linden,7-14,Processed,2025-02-01T18:17:18.282029
,Football,Holt,Flint Carman-Ainsworth,31-12,Processed,2025-02-01T18:17:18.326079
,Football,Holton,Ravenna,0-1 Forfeit,Processed,2025-02-01T18:17:18.370056
,Football,Homer,Manchester,0-44,Processed,2025-02-01T18:17:18.416052
,Football,Hopkins,Wyoming Godwin Heights,35-14,Processed,2025-02-01T18:17:18.455572
,Football,Houghton,Hancock,38-16,Processed,2025-02-01T18:17:18.496706
,Football,Howard City Tri County,Morley Stanwood,48-14,Processed,2025-02-01T18:17:18.539289
,Football,Hudson,Ida,16-8,Processed,2025-02-01T18:17:18.579799
,Football,Hudsonville,Jenison,38-6,Processed,2025-02-01T18:17:18.619799
,Football,Hudsonville Unity Christian,Ada Forest Hills Eastern,44-20,Processed,2025-02-01T18:17:18.658353
,Football,Hurricane (WV),Parkersburg (WV),49-14,Processed,2025-02-01T18:17:18.700354
,Football,Imlay City,North Branch,0-55,Processed,2025-02-01T18:17:18.742357
,Football,International Academy of Flint,Burton Bentley,0-35,Processed,2025-02-01T18:17:18.781869
,Football,Ionia,Portland,21-42,Processed,2025-02-01T18:17:18.821870
,Football,Iron Mountain,Manistique,62-25,Processed,2025-02-01T18:17:18.862385
,Football,Ishpeming Westwood,Menominee,19-58,Processed,2025-02-01T18:17:18.906385
,Football,Ithaca,Saginaw Michigan Lutheran Seminary,35-14,Processed,2025-02-01T18:17:18.951582
,Football,Jackson,Tecumseh,28-20,Processed,2025-02-01T18:17:18.995092
,Football,Jackson Lumen Christi,Toronto St Michaels College School (CN),44-0,Processed,2025-02-01T18:17:19.039096
,Football,Jackson Northwest,Hastings,6-48,Processed,2025-02-01T18:17:19.083607
,Football,Jonesville,Michigan Center,6-14,Processed,2025-02-01T18:17:19.129607
,Football,"Kalamazoo Hackett Catholic Prep
SAC Crossover Game",Lawton,18-27,Processed,2025-02-01T18:17:19.173121
,Football,Kalkaska,East Jordan,13-44,Processed,2025-02-01T18:17:19.215409
,Football,LaGrange Prairie Heights (IN),Albion Central Noble (IN),42-20,Processed,2025-02-01T18:17:19.255924
,Football,Lake Odessa Lakewood,Eaton Rapids,33-0,Processed,2025-02-01T18:17:19.294924
,Football,Lake Orion,Troy,32-0,Processed,2025-02-01T18:17:19.335924
,Football,Lakeview,Kent City,6-44,Processed,2025-02-01T18:17:19.377987
,Football,Lansing Catholic,Charlotte,28-21,Processed,2025-02-01T18:17:19.417989
,Football,Lansing Eastern,Haslett,12-52,Processed,2025-02-01T18:17:19.457503
,Football,Lansing Everett,Okemos,41-6,Processed,2025-02-01T18:17:19.497503
,Football,Lansing Waverly,DeWitt,6-62,Processed,2025-02-01T18:17:19.538503
,Football,Lapeer,Saginaw United,56-12,Processed,2025-02-01T18:17:19.580017
,Football,LeRoy Pine River,Lake City,21-6,Processed,2025-02-01T18:17:19.620018
,Football,Lincoln Park,Trenton,7-21,Processed,2025-02-01T18:17:19.660532
,Football,Livonia Franklin,Dearborn,13-28,Processed,2025-02-01T18:17:19.700532
,Football,"Lowell
Pink Arrow Game",Coopersville,27-35,Processed,2025-02-01T18:17:19.741836
,Football,Lowell,Coopersville,,Processed,2025-02-01T18:17:19.779346
,Football,Lucas (OH),Warrensville Heights (OH),21-14,Processed,2025-02-01T18:17:19.823345
,Football,Lutheran Westland,Madison Heights Bishop Foley,48-22,Processed,2025-02-01T18:17:19.867861
,Football,Macomb Dakota,New Baltimore Anchor Bay,34-6,Processed,2025-02-01T18:17:19.911859
,Football,Macomb L'Anse Creuse North,Harrison Township L'Anse Creuse,20-54,Processed,2025-02-01T18:17:19.955374
,Football,Madison Heights Lamphere,Grosse Pointe North,27-24,Processed,2025-02-01T18:17:19.999374
,Football,Mancelona,Oscoda,28-34 (OT),Processed,2025-02-01T18:17:20.044381
,Football,Manistee,Muskegon Oakridge,22-49,Processed,2025-02-01T18:17:20.087893
,Football,Manton,Houghton Lake,46-54 (3OT),Processed,2025-02-01T18:17:20.128893
,Football,Maple City Glen Lake,Harbor Springs,46-0,Processed,2025-02-01T18:17:20.172411
,Football,Marine City,St Clair,55-21,Processed,2025-02-01T18:17:20.211412
,Football,Marinette (WI),Brussels Southern Door (WI),8-19,Processed,2025-02-01T18:17:20.253550
,Football,Mattawan,Portage Northern,15-32,Processed,2025-02-01T18:17:20.293146
,Football,Medina (OH),Mentor (OH),14-49,Processed,2025-02-01T18:17:20.333146
,Football,Melvindale Academy for Business & Tech,Detroit Leadership Academy,22-14,Processed,2025-02-01T18:17:20.373664
,Football,Middleville Thornapple Kellogg,Wayland,28-22,Processed,2025-02-01T18:17:20.413664
,Football,Midland Dow,Mount Pleasant,28-7,Processed,2025-02-01T18:17:20.463356
,Football,"Milford
Military Appreciation Night",Dearborn Divine Child,12-26,Processed,2025-02-01T18:17:20.508387
,Football,Montague,Muskegon Orchard View,55-14,Processed,2025-02-01T18:17:20.550564
,Football,Morris (IL),Peoria (IL),52-58,Processed,2025-02-01T18:17:20.599425
,Football,Mount Clemens,Sterling Heights Parkway Christian,38-6,Processed,2025-02-01T18:17:20.642920
,Football,Muskegon Catholic Central,Benton Harbor,49-8,Processed,2025-02-01T18:17:20.685036
,Football,Muskegon Reeths-Puffer,Spring Lake,26-14,Processed,2025-02-01T18:17:20.726034
,Football,Napoleon,Brooklyn Columbia Central,22-13,Processed,2025-02-01T18:17:20.769129
,Football,New Boston Huron,Milan,28-7,Processed,2025-02-01T18:17:20.808533
,Football,New Haven,Hazel Park,32-66,Processed,2025-02-01T18:17:20.848539
,Football,Newaygo,Grant,40-0,Processed,2025-02-01T18:17:20.892051
,Football,Newmarket Huron Heights (CN),Orleans St. Peter (CN),57-0,Processed,2025-02-01T18:17:20.934050
,Football,Niles,Three Rivers,56-6,Processed,2025-02-01T18:17:20.977566
,Football,North Farmington,Farmington,20-7,Processed,2025-02-01T18:17:21.019565
,Football,North Muskegon,Mason County Central,36-20,Processed,2025-02-01T18:17:21.063081
,Football,Northville,Brighton,28-29 (2OT),Processed,2025-02-01T18:17:21.110082
,Football,Novi,Canton,36-19,Processed,2025-02-01T18:17:21.156600
,Football,Ogemaw Heights,Gladwin,12-7,Processed,2025-02-01T18:17:21.197599
,Football,Olivet,Lansing Sexton,7-0,Processed,2025-02-01T18:17:21.237599
,Football,Orchard Lake St Mary's,Warren De La Salle Collegiate,28-38,Processed,2025-02-01T18:17:21.277114
,Football,Otisville LakeVille Memorial,Ovid-Elsie,0-52,Processed,2025-02-01T18:17:21.321424
,Football,Otsego,Vicksburg,14-27,Processed,2025-02-01T18:17:21.360865
,Football,Owosso,Clio,50-14,Processed,2025-02-01T18:17:21.400865
,Football,Parma Western,Marshall,28-8,Processed,2025-02-01T18:17:21.439865
,Football,Paw Paw,Sturgis,63-0,Processed,2025-02-01T18:17:21.480380
,Football,Petersburg Summerfield,Whitmore Lake,46-30,Processed,2025-02-01T18:17:21.519570
,Football,Pewamo-Westphalia,Laingsburg,57-0,Processed,2025-02-01T18:17:21.561086
,Football,Pickerington North (OH),Dublin Coffman (OH),43-27,Processed,2025-02-01T18:17:21.600084
,Football,Pioneer North Central (OH),West Unity Hilltop (OH),7-36,Processed,2025-02-01T18:17:21.640086
,Football,Plainwell,Edwardsburg,24-61,Processed,2025-02-01T18:17:21.679601
,Football,Pontiac Notre Dame Prep,Grand Rapids Catholic Central,42-0,Processed,2025-02-01T18:17:21.718606
,Football,Port Huron,Warren Mott,47-35,Processed,2025-02-01T18:17:21.761117
,Football,Potterville,Bath,7-47,Processed,2025-02-01T18:17:21.800117
,Football,Quincy,Vermontville Maple Valley,16-33,Processed,2025-02-01T18:17:21.839297
,Football,Reading,Union City,8-35,Processed,2025-02-01T18:17:21.880023
,Football,Redford Thurston,Melvindale,34-6,Processed,2025-02-01T18:17:21.924023
,Football,Redford Union,Garden City,41-29,Processed,2025-02-01T18:17:21.970541
,Football,Redford Westfield Prep,Southfield Bradford Academy,26-0,Processed,2025-02-01T18:17:22.012541
,Football,Reed City,Big Rapids,14-33,Processed,2025-02-01T18:17:22.056050
,Football,Reese,Vassar,28-26,Processed,2025-02-01T18:17:22.097058
,Football,Remus Chippewa Hills,Central Montcalm,15-59,Processed,2025-02-01T18:17:22.140291
,Football,Richland Gull Lake,Kalamazoo Central,0-55,Processed,2025-02-01T18:17:22.183813
,Football,Riverview,Monroe Jefferson,61-0,Processed,2025-02-01T18:17:22.225807
,Football,Rochester Adams,West Bloomfield,21-14,Processed,2025-02-01T18:17:22.266322
,Football,Rochester Hills Stoney Creek,Birmingham Groves,6-34,Processed,2025-02-01T18:17:22.306321
,Football,Rockford,Grandville,37-20,Processed,2025-02-01T18:17:22.344326
,Football,Romeo,Utica Eisenhower,7-28,Processed,2025-02-01T18:17:22.386256
,Football,Romulus,Dearborn Heights Robichaud,3-0,Processed,2025-02-01T18:17:22.425259
,Football,Romulus Summit Academy North,Detroit Edison,20-8,Processed,2025-02-01T18:17:22.464744
,Football,Roseville,St Clair Shores Lakeview,42-21,Processed,2025-02-01T18:17:22.504747
,Football,Royal Oak,Ferndale,0-35,Processed,2025-02-01T18:17:22.544749
,Football,Royal Oak Shrine Catholic,Dearborn Advanced Tech Academy,22-20,Processed,2025-02-01T18:17:22.586262
,Football,Saginaw Heritage,Grand Blanc,21-22,Processed,2025-02-01T18:17:22.627259
,Football,Saginaw Nouvel Catholic Central,Saginaw Valley Lutheran,35-6,Processed,2025-02-01T18:17:22.673173
,Football,Salem,Howell,13-34,Processed,2025-02-01T18:17:22.716786
,Football,Sandusky,Millington,28-62,Processed,2025-02-01T18:17:22.758510
,Football,Sanford Meridian,Harrison,14-20,Processed,2025-02-01T18:17:22.808562
,Football,Saugatuck,Niles Brandywine,56-22,Processed,2025-02-01T18:17:22.855190
,Football,Sault Ste Marie,Cadillac,6-49,Processed,2025-02-01T18:17:22.897234
,Football,Schoolcraft,Constantine,29-31 (OT),Processed,2025-02-01T18:17:22.941028
,Football,Shepherd,Standish-Sterling,22-55,Processed,2025-02-01T18:17:22.984127
,Football,South Haven,Coloma,48-28,Processed,2025-02-01T18:17:23.033128
,Football,South Lyon,Walled Lake Western,7-49,Processed,2025-02-01T18:17:23.078646
,Football,Southfield Arts & Technology,Rochester,14-33,Processed,2025-02-01T18:17:23.121650
,Football,Southgate Anderson,Livonia Clarenceville,42-22,Processed,2025-02-01T18:17:23.162160
,Football,Springport,Sand Creek,36-12,Processed,2025-02-01T18:17:23.202409
,Football,St John Lake Central (IN),Crown Point (IN),14-42,Processed,2025-02-01T18:17:23.241409
,Football,St Johns,Fowlerville,21-14,Processed,2025-02-01T18:17:23.292601
,Football,St Joseph,Kalamazoo Loy Norrix,35-0,Processed,2025-02-01T18:17:23.338600
,Football,St Louis,Pinconning,3-0,Processed,2025-02-01T18:17:23.380807
,Football,Sterling Heights,Warren Fitzgerald,0-68,Processed,2025-02-01T18:17:23.424231
,Football,Stevensville Lakeshore,Portage Central,14-35,Processed,2025-02-01T18:17:23.465877
,Football,Stockbridge,Bronson,20-26,Processed,2025-02-01T18:17:23.510022
,Football,Swartz Creek,Fenton,19-39,Processed,2025-02-01T18:17:23.553029
,Football,Tawas,Johannesburg-Lewiston,21-6,Processed,2025-02-01T18:17:23.593539
,Football,Temperance Bedford,Dexter,13-59,Processed,2025-02-01T18:17:23.635541
,Football,Toledo Central Catholic (OH),Bloomfield Hills Brother Rice,37-0,Processed,2025-02-01T18:17:23.676319
,Football,Toledo Ottawa Hills (OH),Port Clinton (OH),37-30,Processed,2025-02-01T18:17:23.720623
,Football,Toledo St Francis De Sales (OH),Clyde (OH),30-13,Processed,2025-02-01T18:17:23.762137
,Football,Toledo St John's Jesuit (OH),River Rouge,6-12 (OT),Processed,2025-02-01T18:17:23.802140
,Football,Traverse City West,Bay City Central,28-0,Processed,2025-02-01T18:17:23.843137
,Football,Troy Athens,Oak Park,16-24,Processed,2025-02-01T18:17:23.886654
,Football,Unionville-Sebewaing,Marlette,22-24 (OT),Processed,2025-02-01T18:17:23.930655
,Football,Utica,Grosse Pointe South,7-28,Processed,2025-02-01T18:17:23.974541
,Football,Utica Ford,Port Huron Northern,7-42,Processed,2025-02-01T18:17:24.017960
,Football,Vandercook Lake,Leslie,12-62,Processed,2025-02-01T18:17:24.060633
,Football,Vanlue (OH),Montpelier (OH),8-40,Processed,2025-02-01T18:17:24.103637
,Football,Walkterton John Glenn (IN),Elkhart Jimtown (IN),14-22,Processed,2025-02-01T18:17:24.145638
,Football,Walled Lake Northern,South Lyon East,0-42,Processed,2025-02-01T18:17:24.189151
,Football,Warren Cousino,Fraser,28-14,Processed,2025-02-01T18:17:24.228152
,Football,Warren Lincoln,Clinton Township Clintondale,14-56,Processed,2025-02-01T18:17:24.268671
,Football,Warren Woods Tower,St Clair Shores Lake Shore,28-12,Processed,2025-02-01T18:17:24.308673
,Football,Waterford Kettering,White Lake Lakeland,21-41,Processed,2025-02-01T18:17:24.351145
,Football,Waterford Mott,Walled Lake Central,28-27,Processed,2025-02-01T18:17:24.394819
,Football,Watervliet,Delton Kellogg,22-30,Processed,2025-02-01T18:17:24.435978
,Football,Westland John Glenn,Livonia Stevenson,21-42,Processed,2025-02-01T18:17:24.477496
,Football,White Cloud,Hesperia,50-28,Processed,2025-02-01T18:17:24.518500
,Football,Whitehall,Zeeland West,43-60,Processed,2025-02-01T18:17:24.558500
,Football,Williamston,Mason,20-34,Processed,2025-02-01T18:17:24.600013
,Football,Wyoming Kelloggsville,Belding,6-64,Processed,2025-02-01T18:17:24.639012
,Football,Ypsilanti Lincoln,Monroe,14-15,Processed,2025-02-01T18:17:24.677527
,Football,Bloomfield Hills Cranbrook Kingswood,Marine City Cardinal Mooney,36-35,Processed,2025-02-01T18:17:24.723528
,Football,Cincinnati Elder (OH),Lakewood St Edward (OH),17-24,Processed,2025-02-01T18:17:24.762044
,Football,Cincinnati Moeller (OH),Charlotte Mallard Creek (NC),14-21 (OT),Processed,2025-02-01T18:17:24.803047
,Football,"Detroit Voyageur College Prep
Navy Night",Ecorse,52-6,Processed,2025-02-01T18:17:24.846054
,Football,Erie Mason,Northwood (OH),8-37,Processed,2025-02-01T18:17:24.892566
,Football,Marquette,Gaylord,30-0,Processed,2025-02-01T18:17:24.939824
,Football,Riverview Gabriel Richard,Morral Ridgedale (OH),38-6,Processed,2025-02-01T18:17:24.986586
,Football,Warren Michigan Collegiate,Detroit University Prep,50-6,Processed,2025-02-01T18:17:25.039392
,Football,Newmarket Huron Heights (CN),Toronto Chaminade (CN),35-0,Processed,2025-02-01T18:17:25.088826
,Football,Ann Arbor Father Gabriel Richard,Riverview Gabriel Richard,18-40,Processed,2025-02-01T18:17:25.140759
,Football,Dearborn Advanced Tech Academy,Hamtramck,38-0,Processed,2025-02-01T18:17:25.181025
,Football,Detroit East English,Detroit Southeastern,58-32,Processed,2025-02-01T18:17:25.222025
,Football,Detroit Mumford,Detroit Henry Ford,0-20,Processed,2025-02-01T18:17:25.268140
,Football,Detroit Northwestern,Detroit Cody,6-42,Processed,2025-02-01T18:17:25.307425
,Football,Detroit Pershing,Detroit Denby,8-26,Processed,2025-02-01T18:17:25.346681
,Football,Detroit University Prep,Romulus Summit Academy North,12-42,Processed,2025-02-01T18:17:25.385195
,Football,Dexter,Ann Arbor Huron,56-19,Processed,2025-02-01T18:17:25.424193
,Football,Medina (OH),Brunswick (OH),21-27,Processed,2025-02-01T18:17:25.462709
,Football,Ada Forest Hills Eastern,Grand Rapids Christian,51-6,Processed,2025-02-01T18:17:25.507708
,Football,Adrian Madison,Dundee,38-13,Processed,2025-02-01T18:17:25.545712
,Football,Allen Park,Lincoln Park,24-6,Processed,2025-02-01T18:17:25.587228
,Football,Allendale,Greenville,7-35,Processed,2025-02-01T18:17:25.625227
,Football,"Alma
Homecoming",Bridgeport,18-14,Processed,2025-02-01T18:17:25.667742
,Football,Almont,Algonac,56-0,Processed,2025-02-01T18:17:25.707741
,Football,"*Homecoming Game
Ann Arbor Skyline",Ypsilanti Lincoln,6-41,Processed,2025-02-01T18:17:25.746748
,Football,Arts & Technology Academy of Pontiac,Detroit Community,20-12,Processed,2025-02-01T18:17:25.788258
,Football,Bad Axe,Sandusky,0-1 Forfeit,Processed,2025-02-01T18:17:25.828258
,Football,Bath,Fowler,0-41,Processed,2025-02-01T18:17:25.869772
,Football,Battle Creek Pennfield,Battle Creek Harper Creek,10-49,Processed,2025-02-01T18:17:25.911773
,Football,Bay City Western,Midland Dow,2-3,Processed,2025-02-01T18:17:25.954780
,Football,Beal City,Houghton Lake,49-0,Processed,2025-02-01T18:17:25.995291
,Football,Beaverton,Harrison,13-14,Processed,2025-02-01T18:17:26.037486
,Football,Belding,Holland,50-21,Processed,2025-02-01T18:17:26.079001
,Football,Berrien Springs,Niles Brandywine,63-16,Processed,2025-02-01T18:17:26.123330
,Football,Big Rapids,Remus Chippewa Hills,49-7,Processed,2025-02-01T18:17:26.163846
,Football,Blissfield,Clinton,0-8,Processed,2025-02-01T18:17:26.201846
,Football,Bloomfield Hills,North Farmington,14-49,Processed,2025-02-01T18:17:26.241847
,Football,Bloomfield Hills Brother Rice,River Rouge,14-7,Processed,2025-02-01T18:17:26.281362
,Football,Bowling Green (OH),Sylvania Northview (OH),28-0,Processed,2025-02-01T18:17:26.323362
,Football,Brighton,Novi,34-37,Processed,2025-02-01T18:17:26.361877
,Football,Bronson,Reading,34-12,Processed,2025-02-01T18:17:26.400877
,Football,Brooklyn Columbia Central,Addison,38-8,Processed,2025-02-01T18:17:26.440877
,Football,Brownstown Woodhaven,Waterford Mott,,Processed,2025-02-01T18:17:26.476392
,Football,Buchanan,Benton Harbor,47-8,Processed,2025-02-01T18:17:26.518392
,Football,Burton Atherton,Flint New Standard Academy,36-0,Processed,2025-02-01T18:17:26.557397
,Football,Burton Bendle,International Academy of Flint,60-8,Processed,2025-02-01T18:17:26.597117
,Football,Cadillac,Alpena,59-0,Processed,2025-02-01T18:17:26.636397
,Football,Canton,Northville,0-54,Processed,2025-02-01T18:17:26.674913
,Football,Canton McKinley (OH),Massillon Perry (OH),38-7,Processed,2025-02-01T18:17:26.714912
,Football,Carleton Airport,Monroe St Mary Catholic Central,0-28,Processed,2025-02-01T18:17:26.754917
,Football,Carrollton,Ithaca,0-42,Processed,2025-02-01T18:17:26.794428
,Football,Cass City,Millington,6-34,Processed,2025-02-01T18:17:26.833428
,Football,Cassopolis,Hartford,36-37,Processed,2025-02-01T18:17:26.875045
,Football,Cedar Springs,Grand Rapids Kenowa Hills,35-28,Processed,2025-02-01T18:17:26.917043
,Football,Charlotte,Lansing Sexton,14-20 (OT),Processed,2025-02-01T18:17:26.962559
,Football,Chelsea,Ypsilanti Community,41-12,Processed,2025-02-01T18:17:27.006623
,Football,Churubusco (IN),LaGrange Prairie Heights (IN),30-6,Processed,2025-02-01T18:17:27.047628
,Football,Cincinnati Elder (OH),Louisville St Xavier (KY),17-15,Processed,2025-02-01T18:17:27.091142
