Sport,Home,Away,Date/Time,Score,Status,ScrapedAt
,Football,Dearborn,Detroit Catholic Central,12-56,Processed,2025-02-01T18:16:51.256709
,Football,Dearborn Fordson,Macomb Dakota,17-38,Processed,2025-02-01T18:16:51.295485
,Football,Dearborn Heights Annapolis,Detroit Voyageur College Prep,0-68,Processed,2025-02-01T18:16:51.339388
,Football,Dearborn Heights Crestwood,Eastpointe,59-0,Processed,2025-02-01T18:16:51.381249
,Football,Dearborn Heights Robichaud,Detroit Communication Media Arts,46-0,Processed,2025-02-01T18:16:51.427304
,Football,Decatur,Galesburg-Augusta,54-19,Processed,2025-02-01T18:16:51.475579
,Football,Detroit Country Day,Portland,25-39,Processed,2025-02-01T18:16:51.525987
,Football,Detroit Edison,Detroit Southeastern,24-6,Processed,2025-02-01T18:16:51.571296
,Football,Detroit Henry Ford,Center Line,26-14,Processed,2025-02-01T18:16:51.614850
,Football,Detroit Mumford,Redford Thurston,6-47,Processed,2025-02-01T18:16:51.661558
,Football,Detroit U of D Jesuit,Birmingham Groves,14-35,Processed,2025-02-01T18:16:51.724186
,Football,Dowagiac,South Haven,21-11,Processed,2025-02-01T18:16:51.768590
,Football,East Jackson,Lutheran Westland,28-35,Processed,2025-02-01T18:16:51.810597
,Football,East Jordan,Manistique,48-6,Processed,2025-02-01T18:16:51.851571
,Football,East Kentwood,Hartland,21-0,Processed,2025-02-01T18:16:51.894521
,Football,East Lansing,Portage Central,31-7,Processed,2025-02-01T18:16:51.947751
,Football,Eaton Rapids,Owosso,0-34,Processed,2025-02-01T18:16:51.995814
,Football,Erie Mason,Flint New Standard Academy,28-6,Processed,2025-02-01T18:16:52.038422
,Football,Evart,Beaverton,19-18,Processed,2025-02-01T18:16:52.091085
,Football,Farmington,Oak Park,17-6,Processed,2025-02-01T18:16:52.148640
,Football,Fenton,Midland Dow,28-14,Processed,2025-02-01T18:16:52.194523
,Football,Ferndale,Madison Heights Lamphere,18-27,Processed,2025-02-01T18:16:52.262269
,Football,Flat Rock,Dundee,42-6,Processed,2025-02-01T18:16:52.305269
,Football,Flint Hamady,Detroit East English,32-16,Processed,2025-02-01T18:16:52.349784
,Football,Flint Kearsley,Ann Arbor Huron,38-21,Processed,2025-02-01T18:16:52.393940
,Football,Flushing,Bay City Central,55-0,Processed,2025-02-01T18:16:52.436948
,Football,Fowler,Hudson,20-6,Processed,2025-02-01T18:16:52.478457
,Football,Frankenmuth,Goodrich,22-0,Processed,2025-02-01T18:16:52.520456
,Football,Freeland,Saginaw United,54-6,Processed,2025-02-01T18:16:52.561974
,Football,Garden City,Detroit Western,42-6,Processed,2025-02-01T18:16:52.607106
,Football,Genesee,Melvindale Academy for Business & Tech,28-6,Processed,2025-02-01T18:16:52.650988
,Football,Gladwin,Flint Carman-Ainsworth,44-16,Processed,2025-02-01T18:16:52.695113
,Football,"Vehicle City Gridiron Classic
Grand Blanc",Muskegon Mona Shores,26-28,Processed,2025-02-01T18:16:52.739877
,Football,Grand Ledge,Holland West Ottawa,36-33,Processed,2025-02-01T18:16:52.784357
,Football,Grand Rapids Forest Hills Central,Muskegon Reeths-Puffer,21-10,Processed,2025-02-01T18:16:52.826854
,Football,Grand Rapids Kenowa Hills,Grand Rapids Forest Hills Northern,10-21,Processed,2025-02-01T18:16:52.875230
,Football,Grand Rapids Northview,Chelsea,31-14,Processed,2025-02-01T18:16:52.921140
,Football,Grand Rapids Union,Zeeland East,6-36,Processed,2025-02-01T18:16:52.966820
,Football,Grant,Wyoming Kelloggsville,38-22,Processed,2025-02-01T18:16:53.009820
,Football,Grass Lake,Homer,32-14,Processed,2025-02-01T18:16:53.052336
,Football,Grosse Pointe North,Utica,7-31,Processed,2025-02-01T18:16:53.100338
,Football,Grosse Pointe Woods University Liggett,Detroit Denby,28-6,Processed,2025-02-01T18:16:53.144851
,Football,Harrison,LeRoy Pine River,24-14,Processed,2025-02-01T18:16:53.187854
,Football,Harrison Township L'Anse Creuse,Linden,10-7,Processed,2025-02-01T18:16:53.230148
,Football,Hart,Lake City,40-0,Processed,2025-02-01T18:16:53.272658
,Football,Hartford,Niles Brandywine,55-24,Processed,2025-02-01T18:16:53.314826
,Football,Haslett,DeWitt,42-69,Processed,2025-02-01T18:16:53.357639
,Football,Hastings,Middleville Thornapple Kellogg,38-30,Processed,2025-02-01T18:16:53.400944
,Football,Hazel Park,Imlay City,26-21,Processed,2025-02-01T18:16:53.447458
