Date,League,Home,Home_Score,Away,Away_Score,Source,ScrapedAt
05-Sep-25,BSK,Olds,35,Drumheller,20,www.footballalberta.ab.ca,2025-12-07T07:46:27.590069
05-Sep-25,BSK,Canmore,71,Highwood,0,www.footballalberta.ab.ca,2025-12-07T07:46:27.629582
05-Sep-25,CEN,Stettler,3,Camrose,6,www.footballalberta.ab.ca,2025-12-07T07:46:27.669583
05-Sep-25,CEN,Lacombe,0,Sylvan Lake,10,www.footballalberta.ab.ca,2025-12-07T07:46:27.709587
05-Sep-25,CEN,Hunting Hills,17,Notre Dame (RD),21,www.footballalberta.ab.ca,2025-12-07T07:46:27.748098
05-Sep-25,CGY,Joane Cardinal-Schubert,30,William Aberhart,15,www.footballalberta.ab.ca,2025-12-07T07:46:27.789098
05-Sep-25,CGY,Ernest Manning,7,Notre Dame (CGY),8,www.footballalberta.ab.ca,2025-12-07T07:46:27.826611
05-Sep-25,CGY,St. Francis,34,Henry Wise Wood,9,www.footballalberta.ab.ca,2025-12-07T07:46:27.863611
05-Sep-25,CGY,Western Canada,0,Bowness,49,www.footballalberta.ab.ca,2025-12-07T07:46:27.901611
05-Sep-25,CGY,Lord Beaverbrook,22,Bishop Carroll,21,www.footballalberta.ab.ca,2025-12-07T07:46:27.940127
05-Sep-25,CGY(EX),Centennial,7,Raymond,35,www.footballalberta.ab.ca,2025-12-07T07:46:27.978127
05-Sep-25,ED1,Ross Sheppard,22,Bev Facey,10,www.footballalberta.ab.ca,2025-12-07T07:46:28.015130
05-Sep-25,ED1,Jasper Place,8,Spruce Grove,15,www.footballalberta.ab.ca,2025-12-07T07:46:28.054641
05-Sep-25,ED1,Salisbury,43,Austin O'Brien,17,www.footballalberta.ab.ca,2025-12-07T07:46:28.093641
05-Sep-25,ED2,Lillian Osborne,14,Sturgeon,52,www.footballalberta.ab.ca,2025-12-07T07:46:28.131063
05-Sep-25,ED2,Archbishop Jordan,31,Bellerose,28,www.footballalberta.ab.ca,2025-12-07T07:46:28.170063
05-Sep-25,ED3,Leduc,3,St. Albert,7,www.footballalberta.ab.ca,2025-12-07T07:46:28.209068
05-Sep-25,IND,Foothills,7,All Saints,15,www.footballalberta.ab.ca,2025-12-07T07:46:28.246577
05-Sep-25,IND,Holy Trinity Academy,17,Medicine Hat,7,www.footballalberta.ab.ca,2025-12-07T07:46:28.282577
05-Sep-25,MPE,Peace Wapiti,PPD,Fort McMurray,PPD,www.footballalberta.ab.ca,2025-12-07T07:46:28.321093
05-Sep-25,PSK(EX),Kelowna (BC),CAN,L.C.I.,CAN,www.footballalberta.ab.ca,2025-12-07T07:46:28.358092
05-Sep-25,RKV,Cochrane,40,Bert Church,0,www.footballalberta.ab.ca,2025-12-07T07:46:28.395093
05-Sep-25,RKV,Springbank,16,Chestermere,0,www.footballalberta.ab.ca,2025-12-07T07:46:28.432605
05-Sep-25,RKV,George McDougall,38,W.H. Croxford,19,www.footballalberta.ab.ca,2025-12-07T07:46:28.471606
05-Sep-25,SOU,Willow Creek,28,Brooks,21,www.footballalberta.ab.ca,2025-12-07T07:46:28.511609
05-Sep-25,SOU,Crescent Heights (MH),27,McCoy,31,www.footballalberta.ab.ca,2025-12-07T07:46:28.549120
05-Sep-25,SOU(EX),W.R. Myers,14,Cardston,49,www.footballalberta.ab.ca,2025-12-07T07:46:28.589120
05-Sep-25,SOU(EX),Winston Churchill,15,Catholic Central,43,www.footballalberta.ab.ca,2025-12-07T07:46:28.626633
05-Sep-25,WHE(EX),Carlton (SK),8,Holy Rosary,22,www.footballalberta.ab.ca,2025-12-07T07:46:28.665633
06-Sep-25,WHE(EX),Holy Cross (SK),17,St. Paul,56,www.footballalberta.ab.ca,2025-12-07T07:46:28.709638
