Date,Season,Level,Host,HostState,Opponent,OpponentState,Score1,Score2,GameLink,OpponentLink,OpponentID
2020-10-19,2020,Varsity,Philemon Wright Falcons (ON),ON,Ashbury College,,34,20,https://scorestream.com/game/ashbury-college-vs-philemon-wright-1473317,https://scorestream.com/team/ashbury-college-colts-279779,279779
2020-10-05,2020,Varsity,Philemon Wright Falcons (ON),ON,Colonel By,,0,0,https://scorestream.com/game/colonel-by-vs-philemon-wright-1473308,https://scorestream.com/team/colonel-by-secondary-school-cougars-298304,298304
2020-09-28,2020,Varsity,Philemon Wright Falcons (ON),ON,St. Matthew,,7,0,https://scorestream.com/game/philemon-wright-vs-st-matthew-1473304,https://scorestream.com/team/st-matthew-high-school-tigers-292135,292135
