cluster,block,appearances,peak_teams,seasons_present,intended_seasons,expected_apt,actual_apt,completeness,est_missing_appearances,est_missing_per_season
Fresno,1980-1989,3526,46,10,10,10.82,8.26,0.76,1096.0,110.0
Redding,1940-1949,1155,30,10,10,10.52,5.45,0.52,1076.0,108.0
Inland Empire,1950-1959,688,39,10,10,10.56,4.12,0.39,1075.0,108.0
San Diego,1950-1959,1779,33,10,10,10.85,6.87,0.63,1032.0,103.0
San Diego,1940-1949,1233,24,10,10,10.85,6.04,0.56,981.0,98.0
Fresno,1960-1969,2806,37,10,10,10.82,8.04,0.74,972.0,97.0
San Diego,1970-1979,4597,58,10,10,10.85,8.96,0.83,971.0,97.0
San Jose,1950-1959,1221,31,10,10,10.56,5.9,0.56,965.0,96.0
Bakersfield,1960-1969,1338,25,10,10,10.8,6.4,0.59,920.0,92.0
Bakersfield,1950-1959,574,18,10,10,10.8,4.16,0.39,917.0,92.0
Stockton,1940-1949,235,18,10,10,10.65,2.18,0.2,915.0,92.0
Salinas,1970-1979,1241,25,10,10,10.29,5.97,0.58,900.0,90.0
Stockton,1980-1989,3396,50,10,10,10.65,8.47,0.8,875.0,88.0
Fresno,1970-1979,3597,50,10,10,10.82,8.73,0.81,863.0,86.0
Redding,1980-1989,2888,61,10,10,10.52,8.18,0.78,827.0,83.0
Inland Empire,1980-1989,5799,69,10,10,10.56,9.31,0.88,777.0,78.0
Salinas,1960-1969,984,25,10,10,10.29,5.86,0.57,745.0,74.0
Fresno,1990-1999,4232,49,10,10,10.82,9.24,0.85,726.0,73.0
Bakersfield,1990-1999,2567,34,10,10,10.8,8.47,0.78,706.0,71.0
Fresno,1940-1949,251,15,10,10,10.82,2.85,0.26,702.0,70.0
San Francisco,1990-1999,7788,83,10,10,10.51,9.69,0.92,671.0,67.0
Bakersfield,1970-1979,2049,26,10,10,10.8,8.2,0.76,652.0,65.0
Salinas,1950-1959,555,19,10,10,10.29,4.83,0.47,629.0,63.0
Los Angeles,2000-2009,9355,244,4,4,10.46,9.82,0.94,616.0,154.0
Stockton,1990-1999,4155,48,10,10,10.65,9.32,0.87,596.0,60.0
Eureka,1970-1979,444,13,10,10,10.33,4.53,0.44,569.0,57.0
Inland Empire,1940-1949,377,11,10,10,10.56,4.24,0.4,562.0,56.0
Salinas,1980-1989,1490,21,10,10,10.29,7.49,0.73,558.0,56.0
San Jose,1940-1949,127,13,10,10,10.56,1.98,0.19,549.0,55.0
Bakersfield,1980-1989,2422,30,10,10,10.8,8.9,0.82,516.0,52.0
San Diego,1980-1989,5824,62,10,10,10.85,10.02,0.92,488.0,49.0
Sacramento,1990-1999,7526,83,10,10,10.73,10.1,0.94,467.0,47.0
San Diego,1990-1999,6480,68,10,10,10.85,10.22,0.94,425.0,42.0
Inland Empire,2000-2009,3723,104,4,4,10.56,9.47,0.9,425.0,106.0
Bakersfield,1940-1949,118,10,8,10,10.8,2.88,0.27,325.0,32.0
Eureka,1990-1999,395,7,10,10,10.33,5.9,0.57,297.0,30.0
Eureka,1950-1959,305,7,10,10,10.33,5.26,0.51,294.0,29.0
Eureka,1980-1989,336,8,10,10,10.33,5.6,0.54,284.0,28.0
Eureka,1940-1949,79,5,10,10,10.33,2.26,0.22,283.0,28.0
San Jose,1990-1999,5450,56,10,10,10.56,10.17,0.96,245.0,24.0
Eureka,1960-1969,354,6,10,10,10.33,6.21,0.6,235.0,24.0
Salinas,1940-1949,70,6,7,10,10.29,2.41,0.23,229.0,23.0
Salinas,1990-1999,2097,25,10,10,10.29,9.45,0.92,188.0,19.0
Fresno,2000-2009,2050,53,4,4,10.82,9.95,0.92,180.0,45.0
Bakersfield,2000-2009,1436,40,4,4,10.8,9.64,0.89,174.0,44.0
San Francisco,2000-2009,3444,86,4,4,10.51,10.47,0.95,165.0,41.0
San Jose,2000-2009,2330,60,4,4,10.56,9.87,0.93,163.0,41.0
Sacramento,2000-2009,3286,83,4,4,10.73,10.4,0.96,119.0,30.0
Stockton,2000-2009,1933,53,4,4,10.65,10.07,0.94,116.0,29.0
Redding,1990-1999,3225,33,10,10,10.52,10.24,0.97,109.0,11.0
Salinas,2000-2009,929,25,4,4,10.29,9.88,0.96,43.0,11.0
Redding,2000-2009,1317,33,4,4,10.52,10.37,0.97,40.0,10.0
Eureka,2000-2009,227,6,4,4,10.33,9.46,0.9,24.0,6.0
San Diego,2000-2009,3246,72,4,4,10.85,11.85,1.0,3.0,1.0
