Alias_Name,GameCount,Standardized_Name
Klamath Falls Triad (OR),141,Klamath Falls Triad (OR)
La Grande (OR),994,La Grande (OR)
La Pine (OR),332,La Pine (OR)
Lake Oswego (OR),786,Lake Oswego (OR)
Lake Oswego Lakeridge (OR),581,Lake Oswego Lakeridge (OR)
Lakeview-Paisley (OR),622,Lakeview-Paisley (OR)
Lebanon (OR),1117,Lebanon (OR)
Lincoln City Taft (OR),717,Lincoln City Taft (OR)
Lowell (OR),233,Lowell (OR)
Madras (OR),605,Madras (OR)
Mapleton (OR),225,Mapleton (OR)
Marcola Mohawk (OR),215,Marcola Mohawk (OR)
Maupin South Wasco (OR),149,Maupin South Wasco (OR)
McMinnville (OR),1093,McMinnville (OR)
Mead Mount Spokane (OR),1,Mead Mount Spokane (WA)
Medford (OR),686,Medford (OR)
Medford Cascade Christian (OR),256,Medford Cascade Christian (OR)
Medford Saint Mary's (OR),25,Medford St. Mary's (OR)
Medford St. Marys (OR),82,Medford St. Mary's (OR)
Medford St. Mary's (OR),259,Medford St. Mary's (OR)
Merrill Lost River (OR),344,Merrill Lost River (OR)
Mill City Santiam (OR),230,Mill City Santiam (OR)
Milton-Freewater McLoughlin (OR),905,Milton-Freewater McLoughlin (OR)
Milwaukie (OR),862,Milwaukie (OR)
Milwaukie Academy of the Arts (OR),123,Milwaukie Academy of the Arts (OR)
Milwaukie La Salle (OR),502,Milwaukie La Salle (OR)
Milwaukie Putnam (OR),578,Milwaukie Putnam (OR)
Mitchell-Spray (OR),105,Mitchell-Spray (OR)
Molalla (OR),832,Molalla (OR)
Monroe (OR),229,Monroe (OR)
Moro Sherman (OR),199,Moro Sherman (OR)
Moro Sherman County (OR),14,Moro Sherman (OR)
Moro Sherman County Union (OR),9,Moro Sherman (OR)
Moro Sherman Condon (OR),8,Moro Sherman-Condon (OR)
Moro Sherman-Condon (OR),15,Moro Sherman-Condon (OR)
Mt. Angel Kennedy (OR),253,Mount Angel Kennedy (OR)
Myrtle Creek South Umpqua (OR),8,Myrtle Creek South Umpqua (OR)
Myrtle Creek SouthUmpqua (OR),633,Myrtle Creek South Umpqua (OR)
Myrtle Point (OR),963,Myrtle Point (OR)
Newberg (OR),1043,Newberg (OR)
Newport (OR),855,Newport (OR)
North Bend-Oregon Coast Tech (OR),971,North Bend-Oregon Coast Tech (OR)
North Medford (OR),1113,North Medford (OR)
North Powder (OR),3,North Powder Powder Valley (OR)
North Powder Powder Valley (OR),234,North Powder Powder Valley (OR)
NorthSalem (OR),1086,NorthSalem (OR)
Nyssa (OR),491,Nyssa (OR)
Oakland (OR),264,Oakland (OR)
Oakridge (OR),345,Oakridge (OR)
Odell (OR),2,Odell (OR)
Ontario (OR),871,Ontario (OR)
OAC (OR),7,Oregon Agricultural College (OR)
OAC 2nds (OR),1,Oregon Agricultural College 2nds (OR)
OAC Fresh (OR),3,Oregon Agricultural College Frosh (OR)
OAC Rooks (OR),12,Oregon Agricultural College Frosh (OR)
OCE Fresh (OR),2,Oregon Agricultural College Frosh (OR)
Oregon Agricultural College Rooks (OR),1,Oregon Agricultural College Frosh (OR)
Oregon City (OR),1116,Oregon City (OR)
Pendleton (OR),859,Pendleton (OR)
Philomath (OR),563,Philomath (OR)
Phoenix (OR),745,Phoenix (OR)
Pilot Rock-Nixyaawii Community (OR),197,Pilot Rock-Nixyaawii Community (OR)
Pleasant Hill (OR),594,Pleasant Hill (OR)
Portland Adams (OR),109,Portland Adams (OR)
Portland Benson Poly (OR),911,Portland Benson Poly (OR)
Portland Benson Tech (OR),316,Portland Benson Tech (OR)
Portland Central Catholic (OR),884,Portland Central Catholic (OR)
Portland Christian (OR),223,Portland Christian (OR)
Portland Cleveland (OR),1078,Portland Cleveland (OR)
Portland Columbia Prep (OR),470,Portland Columbia Prep (OR)
Portland David Douglas (OR),687,Portland David Douglas (OR)
Portland Franklin (OR),1152,Portland Franklin (OR)
Portland Grant (OR),1122,Portland Grant (OR)
Portland Hill Military Academy (OR),376,Portland Hill Military Academy (OR)
Portland Hill Military Acedemy (OR),5,Portland Hill Military Academy (OR)
Portland Ida B (OR),17,Portland Ida B. Wells (OR)
Portland Ida B. Wells (OR),9,Portland Ida B. Wells (OR)
Portland Wells (OR),16,Portland Ida B. Wells (OR)
Portland Jackson (OR),132,Portland Jackson (OR)
Portland Jefferson (OR),1292,Portland Jefferson (OR)
Portland Jesuit (OR),787,Portland Jesuit (OR)
Portland Lincoln (OR),1236,Portland Lincoln (OR)
Portland Madison (OR),668,Portland Madison (OR)
Portland Marshall (OR),489,Portland Marshall (OR)
Portland Parkrose (OR),855,Portland Parkrose (OR)
Portland Roosevelt (OR),1045,Portland Roosevelt (OR)
Portland St. Johns (OR),1,Portland St. John's (OR)
Portland St. John's (OR),4,Portland St. John's (OR)
Portland Sunset (OR),679,Portland Sunset (OR)
Portland Washington (OR),695,Portland Washington (OR)
Portland Westview (OR),325,Portland Westview (OR)
Portland Wilson (OR),640,Portland Wilson (OR)
Powers (OR),244,Powers (OR)
Prairie City (OR),130,Prairie City (OR)
Prairie City Prairie City (OR),18,Prairie City (OR)
Prineville Crook County (OR),971,Prineville Crook County (OR)
Prospect (OR),172,Prospect (OR)
Prospect Butte (OR),8,Prospect-Butte Falls (OR)
Prospect-Butte Falls (OR),14,Prospect-Butte Falls (OR)
Rainier (OR),804,Rainier (OR)
Redmond (OR),900,Redmond (OR)
Redmond Ridgeview (OR),129,Redmond Ridgeview (OR)
Reedsport Charter (OR),887,Reedsport Charter (OR)
Riddle (OR),237,Riddle (OR)
Rockaway Beach Neah Kah (OR),14,Rockaway Beach Neah-Kah-Nie (OR)
Rockaway Beach Neah-Kah-Nie (OR),162,Rockaway Beach Neah-Kah-Nie (OR)
Rockaway Neah-Kah-Nie (OR),160,Rockaway Beach Neah-Kah-Nie (OR)
Rogue River (OR),534,Rogue River (OR)
Roseburg (OR),1092,Roseburg (OR)
