Alias_Name,GameCount,Standardized_Name
Bradford (PA),990,Bradford (PA)
Bradford Central Christian (PA),224,Bradford Central Christian (PA)
Bridgeport (PA),355,Bridgeport (PA)
Bridgeville (PA),343,Bridgeville (PA)
Bridgeville Chartiers Valley (PA),695,Bridgeville Chartiers Valley (PA)
Bristol (PA),1156,Bristol (PA)
Bristol Delhaas (PA),189,Bristol Delhaas (PA)
Brockway (PA),976,Brockway (PA)
Brodheadsville Pleasant Valley (PA),662,Brodheadsville Pleasant Valley (PA)
Brookville (PA),891,Brookville (PA)
Brownsville (PA),995,Brownsville (PA)
Bryn Athyn Academy of the New Church (PA),780,Bryn Athyn Academy of the New Church (PA)
Bryn Athyn (PA),19,Bryn Athyn Academy of the New Church (PA)
Bryn Athyn Academy Of (PA),14,Bryn Athyn Academy of the New Church (PA)
Bryn Athyn Academy of New Church (PA),13,Bryn Athyn Academy of the New Church (PA)
Bucknell University Frosh (PA),36,Bucknell University Frosh (PA)
Bucknell University Fresh (PA),2,Bucknell University Frosh (PA)
Burgettstown (PA),1079,Burgettstown (PA)
Butler (PA),1185,Butler (PA)
Cairnbrook Shade (PA),915,Cairnbrook Shade (PA)
Cambridge Springs (PA),867,Cambridge Springs (PA)
Camp Hill - Cedar Cliff (PA),1003,Camp Hill - Cedar Cliff (PA)
Camp Hill (PA),973,Camp Hill (PA)
Camp Hill Trinity (PA),1045,Camp Hill Trinity (PA)
Canonsburg Canon-McMillan (PA),1051,Canonsburg Canon-McMillan (PA)
Canonsburg Canon Mcmillan (PA),19,Canonsburg Canon-McMillan (PA)
Canton (PA),1023,Canton (PA)
Carbondale (PA),916,Carbondale (PA)
Carbondale Area (PA),83,Carbondale (PA)
Carlisle (PA),1166,Carlisle (PA)
Carlisle Indians JV (PA),27,Carlisle Indians JV (PA)
Carlisle JV (PA),18,Carlisle Indians JV (PA)
Carmichaels (PA),1023,Carmichaels (PA)
Carnegie (PA),568,Carnegie (PA)
Carnegie Carlynton (PA),558,Carnegie Carlynton (PA)
Carnegie St. Luke School (PA),258,Carnegie St. Luke School (PA)
Carnegie St. Luke (PA),166,Carnegie St. Luke School (PA)
Carrolltown John Carroll (PA),337,Carrolltown John Carroll (PA)
Catasauqua (PA),1159,Catasauqua (PA)
Catawissa SouthernColumbia Area (PA),900,Catawissa Southern Columbia Area (PA)
Catawissa Southern Columbia Area (PA),12,Catawissa Southern Columbia Area (PA)
Cecil Township (PA),315,Cecil Township (PA)
Center Valley Southern Lehigh (PA),687,Center Valley Southern Lehigh (PA)
Centerville (PA),342,Centerville (PA)
Central York (PA),731,Central York (PA)
Chambersburg (PA),976,Chambersburg (PA)
Chambersburg Area (PA),1,Chambersburg (PA)
Charleroi (PA),1126,Charleroi (PA)
Cherry Tree (PA),108,Cherry Tree (PA)
Chester (PA),1317,Chester (PA)
Chester St. James (PA),793,Chester St. James (PA)
Cheswick West Deer (PA),245,Cheswick West Deer (PA)
Clairton (PA),1156,Clairton (PA)
Claridge Penn Joint (PA),303,Claridge Penn Joint (PA)
Clarion (PA),863,Clarion (PA)
Clarks Summit (PA),107,Clarks Summit (PA)
Clarks Summit Abington Heights (PA),1064,Clarks Summit Abington Heights (PA)
Claysburg (PA),287,Claysburg (PA)
Claysburg-Kimmel (PA),906,Claysburg-Kimmel (PA)
Claysburg Kimmel (PA),21,Claysburg-Kimmel (PA)
Claysville McGuffey (PA),583,Claysville McGuffey (PA)
Clearfield (PA),1021,Clearfield (PA)
Clearfield St. Francis (PA),3,Clearfield St. Francis (PA)
Clearfield St Francis (PA),1,Clearfield St. Francis (PA)
Clifton Heights (PA),359,Clifton Heights (PA)
Clymer Penns Manor (PA),668,Clymer Penns Manor (PA)
Coal Center California (PA),958,Coal Center California (PA)
Coal Center California Area (PA),2,Coal Center California (PA)
Coal Township (PA),286,Coal Township (PA)
Coal Township Our Lady of Lourdes Regional (PA),372,Coal Township Our Lady of Lourdes Regional (PA)
Coal Township Shamokin Area (PA),1210,Coal Township Shamokin Area (PA)
Coaldale (PA),475,Coaldale (PA)
Coaldale St. Marys (PA),30,Coaldale St. Marys (PA)
Coaldale St. Mary (PA),1,Coaldale St. Marys (PA)
Coaldale St. Mary's (PA),1,Coaldale St. Marys (PA)
Coatesville (PA),1296,Coatesville (PA)
Cochranton (PA),477,Cochranton (PA)
Collegeville (PA),178,Collegeville (PA)
Collegeville Perkiomen Valley (PA),610,Collegeville Perkiomen Valley (PA)
Collingdale (PA),567,Collingdale (PA)
Columbia (PA),1068,Columbia (PA)
Commodore Purchase Line (PA),698,Commodore Purchase Line (PA)
Concordville Glen Mills (PA),473,Concordville Glen Mills (PA)
Conemaugh East (PA),394,Conemaugh East (PA)
Confluence Turkeyfoot Valley Area (PA),429,Confluence Turkeyfoot Valley Area (PA)
Conneaut Lake (PA),338,Conneaut Lake (PA)
Conneautville Conneaut Valley (PA),582,Conneautville Conneaut Valley (PA)
Connellsville (PA),1278,Connellsville (PA)
Connellsville Dunbar (PA),441,Connellsville Dunbar (PA)
Connellsville Geibel (PA),205,Connellsville Geibel Catholic (PA)
Connellsville Geibel Catholic (PA),90,Connellsville Geibel Catholic (PA)
Conshohocken (PA),348,Conshohocken (PA)
Conshohocken Archbishop Kennedy (PA),394,Conshohocken Archbishop Kennedy (PA)
Conshohocken St. Matthews (PA),40,Conshohocken St. Matthews (PA)
Conshohocken St. Matthew (PA),2,Conshohocken St. Matthews (PA)
Coplay (PA),206,Coplay (PA)
Coraopolis (PA),551,Coraopolis (PA)
Coraopolis Cornell (PA),505,Coraopolis Cornell (PA)
Coraopolis Our Lady of the Sacred Heart (PA),160,Coraopolis Our Lady of the Sacred Heart (PA)
Coraopolis Our Lady (PA),19,Coraopolis Our Lady of the Sacred Heart (PA)
Corry (PA),1032,Corry (PA)
Coudersport (PA),1035,Coudersport (PA)
Covington Township North Pocono (PA),710,Covington Township North Pocono (PA)
Crafton (PA),500,Crafton (PA)
Creighton East Deer Frazer (PA),284,Creighton East Deer Frazer (PA)
Cresson Joint (PA),418,Cresson Joint (PA)
Cresson Penn Cambria (PA),644,Cresson Penn Cambria (PA)
Curwensville (PA),990,Curwensville (PA)
Dallas (PA),825,Dallas (PA)
Dallas Borough (PA),105,Dallas Borough (PA)
Dallas Township-Franklin Township (PA),216,Dallas Township-Franklin Township (PA)
Dallastown (PA),859,Dallastown (PA)
Danville (PA),1145,Danville (PA)
Danville Central (PA),1,Danville (PA)
Darby-Colwyn (PA),612,Darby-Colwyn (PA)
Darlington Northwestern (PA),205,Darlington Northwestern (PA)
Davidsville Conemaugh Township (PA),857,Davidsville Conemaugh Township (PA)
Davidsville Conemaugh TownshipArea (PA),4,Davidsville Conemaugh Township (PA)
Delancey School (PA),197,Delancey School (PA)
Delaware County Springfield (PA),565,Delaware County Springfield (PA)
Denver Cocalico (PA),800,Denver Cocalico (PA)
Derry Area (PA),749,Derry Area (PA)
Derry Borough (PA),366,Derry Borough (PA)
Derry Township (PA),297,Derry Township (PA)
Devon Episcopal Academy (PA),113,Devon Episcopal Academy (PA)
Dickinson College Frosh (PA),29,Dickinson College Frosh (PA)
Dickinson College Freshmen (PA),4,Dickinson College Frosh (PA)
Dickinson College Fresh (PA),2,Dickinson College Frosh (PA)
Dickinson Seminary College JVs (PA),4,Dickinson Seminary College JV (PA)
Dickinson Seminary JV (PA),3,Dickinson Seminary College JV (PA)
Dickson City (PA),186,Dickson City (PA)
Dillsburg Northern York (PA),640,Dillsburg Northern York (PA)
Dillsburg Northern (PA),7,Dillsburg Northern York (PA)
Dingmans Ferry East Stroudsburg North (PA),254,Dingmans Ferry East Stroudsburg North (PA)
Dingmans Ferry East St. roudsburg (PA),20,Dingmans Ferry East Stroudsburg North (PA)
Donora (PA),596,Donora (PA)
Dormont Keystone Oaks (PA),219,Dormont Keystone Oaks (PA)
Dover (PA),521,Dover (PA)
Downingtown (PA),482,Downingtown (PA)
Downingtown Bishop Shanahan (PA),264,Downingtown Bishop Shanahan (PA)
Downingtown West (PA),1026,Downingtown West (PA)
Doylestown Central Bucks East (PA),655,Doylestown Central Bucks East (PA)
Doylestown Central Bucks West (PA),1164,Doylestown Central Bucks West (PA)
Doylestown National Farm School (PA),311,Doylestown National Farm School (PA)
Doylestown National Farm (PA),13,Doylestown National Farm School (PA)
Farm School (PA),5,Doylestown National Farm School (PA)
Drexel Hill Monsignor Bonner (PA),616,Drexel Hill Monsignor Bonner (PA)
Drexel Hill Monsignor Bonner-Archbishop Prendergast (PA),621,Drexel Hill Monsignor Bonner-Archbishop Prendergast (PA)
Drexel Hill St. Andrews School (PA),15,Drexel Hill St. Andrew School (PA)
Drexel Hill Saint Andrew School (PA),3,Drexel Hill St. Andrew School (PA)
Drexel Hill St. Andrew School (PA),2,Drexel Hill St. Andrew School (PA)
Drexel Hill Upper Darby (PA),1227,Drexel Hill Upper Darby (PA)
DuBois (PA),1147,DuBois (PA)
Duke Center Otto-Eldred (PA),742,Duke Center Otto-Eldred (PA)
Duke Center Otto Eldred (PA),19,Duke Center Otto-Eldred (PA)
Duncannon (PA),259,Duncannon (PA)
Duncannon Susquenita (PA),714,Duncannon Susquenita (PA)
Dunmore (PA),1284,Dunmore (PA)
Dunbar Borough (PA),31,Dunmore (PA)
Dunmore Bishop O'Hara (PA),356,Dunmore Bishop O'Hara (PA)
Dunmore Holy Cross (PA),185,Dunmore Holy Cross (PA)
