Alias_Name,GameCount,Standardized_Name
Cortez Montezuma County (CO),509,Cortez Montezuma County (CO)
"Cortez Montezuma """"B"""" (CO)",2,Cortez Montezuma County JV (CO)
Cortez Montezuma County JV (CO),17,Cortez Montezuma County JV (CO)
Cotopaxi (CO),267,Cotopaxi (CO)
Craig Moffat County (CO),473,Craig Moffat County (CO)
Cripple Creek-Victor (CO),277,Cripple Creek-Victor (CO)
Deer Trail (CO),208,Deer Trail (CO)
Del Norte (CO),345,Del Norte (CO)
Del Notre (CO),1,Del Norte (CO)
Delta (CO),682,Delta (CO)
Denver Bishop Machebeuf (CO),163,Denver Bishop Machebeuf (CO)
Denver Christian (CO),339,Denver Christian (CO)
Denver Develyn (CO),18,Denver D'Evelyn (CO)
Denver D'Evelyn (CO),219,Denver D'Evelyn (CO)
Denver East (CO),483,Denver East (CO)
Denver George Washington (CO),477,Denver George Washington (CO)
Denver Kennedy (CO),435,Denver Kennedy (CO)
Denver Kennedy JV (CO),1,Denver Kennedy JV (CO)
Denver Kennedy Sophs (CO),2,Denver Kennedy JV (CO)
Denver Lincoln (CO),399,Denver Lincoln (CO)
Denver Lutheran (CO),238,Denver Lutheran (CO)
Denver Machebeuf (CO),135,Denver Machebeuf (CO)
Denver Manual (CO),403,Denver Manual (CO)
Denver Mapleton (CO),118,Denver Mapleton (CO)
Denver Montbello (CO),345,Denver Montbello (CO)
Denver Mullen (CO),634,Denver Mullen (CO)
Denver North (CO),454,Denver North (CO)
Denver Ranum (CO),280,Denver Ranum (CO)
Denver Rocky Mountain Lutheran (CO),104,Denver Rocky Mountain Lutheran (CO)
Denver Sheridan (CO),398,Denver Sheridan (CO)
Denver South (CO),500,Denver South (CO)
Denver St. Francis (CO),11,Denver St. Francis de Sales (CO)
Denver St. Francis de Sales (CO),14,Denver St. Francis de Sales (CO)
Denver St. Joseph (CO),17,Denver St. Joseph's (CO)
Denver St. Josephs (CO),14,Denver St. Joseph's (CO)
Denver St. Joseph's (CO),4,Denver St. Joseph's (CO)
Denver Thomas Jefferson (CO),499,Denver Thomas Jefferson (CO)
Denver West (CO),447,Denver West (CO)
Denver Westland Christian Academy (CO),2,Denver Westland Christian Academy (CO)
Denver WestlandChristianAcademy (CO),2,Denver Westland Christian Academy (CO)
Dolores (CO),447,Dolores (CO)
Dove Creek (CO),178,Dove Creek (CO)
Dove Creek Dolores County (CO),248,Dove Creek Dolores County (CO)
Durango (CO),1153,Durango (CO)
Eads (CO),389,Eads (CO)
Eaton (CO),448,Eaton (CO)
Edgewater Jefferson (CO),425,Edgewater Jefferson (CO)
Edwards Battle Mountain (CO),321,Edwards Battle Mountain (CO)
Edwards Vail Christian (CO),216,Edwards Vail Christian (CO)
Elbert (CO),245,Elbert (CO)
Elizabeth (CO),373,Elizabeth (CO)
Englewood (CO),765,Englewood (CO)
Englewood Kent Denver (CO),378,Englewood Kent Denver (CO)
Erie (CO),407,Erie (CO)
Estes Park (CO),330,Estes Park (CO)
Evergreen (CO),459,Evergreen (CO)
Evergreen Clear Creek (CO),353,Evergreen Clear Creek (CO)
Fairplay South Park (CO),292,Fairplay South Park (CO)
Falcon (CO),404,Falcon (CO)
Federal Heights The Pinnacle (CO),141,Federal Heights The Pinnacle (CO)
Flagler (CO),316,Flagler (CO)
Fleming (CO),354,Fleming (CO)
Florence (CO),552,Florence (CO)
Fort Collins (CO),836,Fort Collins (CO)
Ft. Collins (CO),5,Fort Collins (CO)
Fort Collins Fossil Ridge (CO),168,Fort Collins Fossil Ridge (CO)
Fort Collins Poudre (CO),480,Fort Collins Poudre (CO)
Ft. Collins Poudre (CO),1,Fort Collins Poudre (CO)
Fort Collins Rocky Mountain (CO),415,Fort Collins Rocky Mountain (CO)
Fort Lupton (CO),353,Fort Lupton (CO)
Fort Morgan (CO),561,Fort Morgan (CO)
Fountain-Fort Carson (CO),368,Fountain-Fort Carson (CO)
Fowler (CO),459,Fowler (CO)
Frederick (CO),330,Frederick (CO)
Frisco Summit (CO),283,Frisco Summit (CO)
Frisco Summit County (CO),1,Frisco Summit (CO)
Fruita Monument (CO),646,Fruita Monument (CO)
Fruta (CO),1,Fruita Monument (CO)
Genoa Hugo (CO),111,Genoa-Hugo (CO)
Hugo Genoa Hugo (CO),16,Genoa-Hugo (CO)
Genoa-Hugo-Karval (CO),115,Genoa-Hugo-Karval (CO)
Gilchrist Valley (CO),1,Gilcrest Valley (CO)
Gilcrest Valley (CO),409,Gilcrest Valley (CO)
