Alias_Name,GameCount,Standardized_Name
Camp Hill Lyman Ward Military Academy (AL),353,Camp Hill Lyman Ward Military Academy (AL)
Camp Hill Southern Prep Academy (AL),171,Camp Hill Southern Prep Academy (AL)
Camp Hill Southern Prep (AL),21,Camp Hill Southern Prep Academy (AL)
Carbon Hill (AL),1014,Carbon Hill (AL)
Carrollton (AL),687,Carrollton (AL)
Carrollton Pickens Academy (AL),542,Carrollton Pickens Academy (AL)
Carver Birmingham (AL),338,Carver Birmingham (AL)
Carver Gadsden (AL),269,Carver Gadsden (AL)
Catherine Academy (AL),235,Catherine Academy (AL)
Catholic Montgomery (AL),605,Catholic Montgomery (AL)
Cecil Macon-East Montgomery Academy (AL),230,Cecil Macon-East Montgomery Academy (AL)
Cedar Bluff (AL),961,Cedar Bluff (AL)
Central Coosa (AL),169,Central Coosa (AL)
Central Florence (AL),535,Central Florence (AL)
Central Hayneville (AL),246,Central Hayneville (AL)
Central Phenix City B-Team (AL),3,Central Phenix City B (AL)
Central PC B-Team (AL),1,Central Phenix City B (AL)
Centre Cherokee County (AL),1087,Centre Cherokee County (AL)
Centreville Bibb County (AL),993,Centreville Bibb County (AL)
Centreville Cahawba Christian Academy (AL),46,Centreville Cahawba Christian Academy (AL)
Centreville Cahawba Christian (AL),6,Centreville Cahawba Christian Academy (AL)
Chatom Washington County (AL),925,Chatom Washington County (AL)
Chelsea (AL),630,Chelsea (AL)
Cherokee (AL),889,Cherokee (AL)
Chickasaw (AL),117,Chickasaw (AL)
Childersburg (AL),815,Childersburg (AL)
Phylis Wheatley (AL),12,Childersburg Phyllis Wheatley (AL)
Childersburg Phyllis Wheatley (AL),3,Childersburg Phyllis Wheatley (AL)
Phylis Weatley (AL),1,Childersburg Phyllis Wheatley (AL)
Moeller OH (AL),1,Cincinnati Archbishop Moeller (OH)
Citronelle (AL),926,Citronelle (AL)
Citronelle Wesleyan Academy (AL),3,Citronelle Wesleyan Academy (AL)
Citronelle Wesleyan Christian Academy (AL),1,Citronelle Wesleyan Academy (AL)
Clanton Chilton County (AL),910,Clanton Chilton County (AL)
Clayton (AL),396,Clayton (AL)
Clayton Barbour County (AL),256,Clayton Barbour County (AL)
Cleveland (AL),798,Cleveland (AL)
Clio (AL),359,Clio (AL)
Coffee (AL),853,Coffee (AL)
Coffee Springs (AL),432,Coffee Springs (AL)
Coffeeville (AL),677,Coffeeville (AL)
Collinsville (AL),1031,Collinsville (AL)
Columbia Houston County (AL),858,Columbia Houston County (AL)
Columbiana Cornerstone Christian (AL),283,Columbiana Cornerstone Christian (AL)
Columbiana Shelby County (AL),846,Columbiana Shelby County (AL)
Conecuh County (AL),176,Conecuh County (AL)
Coosa County (AL),243,Coosa County (AL)
Cordova (AL),1058,Cordova (AL)
Cottondale Paul W. Bryant (AL),211,Cottondale Paul W. Bryant (AL)
Cottondale Paul W (AL),18,Cottondale Paul W. Bryant (AL)
Cottondale Tuscaloosa Christian (AL),224,Cottondale Tuscaloosa Christian (AL)
Cottonwood (AL),882,Cottonwood (AL)
Courtland R.A. Hubbard (AL),662,Courtland R.A. Hubbard (AL)
Crenshaw County (AL),4,Crenshaw County Training (AL)
Crenshaw County Training (AL),1,Crenshaw County Training (AL)
Crossville (AL),1042,Crossville (AL)
Cullman (AL),1090,Cullman (AL)
Cullman Fairview (AL),646,Cullman Fairview (AL)
Cullman Good Hope (AL),612,Cullman Good Hope (AL)
Cullman St. Bernard Prep (AL),49,Cullman St. Bernard Prep (AL)
Cullman St. Bernard (AL),1,Cullman St. Bernard Prep (AL)
Cullman West Point (AL),645,Cullman West Point (AL)
D.C. Wolfe (AL),126,D.C. Wolfe (AL)
Dadeville (AL),994,Dadeville (AL)
Daleville (AL),636,Daleville (AL)
Danville (AL),516,Danville (AL)
Danville Speake (AL),362,Danville Speake (AL)
Daphne (AL),424,Daphne (AL)
Daphne Bayside Academy (AL),267,Daphne Bayside Academy (AL)
Deatsville Holtville (AL),852,Deatsville Holtville (AL)
Decatur (AL),1525,Decatur (AL)
Decatur Austin (AL),672,Decatur Austin (AL)
Decatur Heritage Christian Academy (AL),174,Decatur Heritage Christian Academy (AL)
DeKalb County (AL),314,DeKalb County (AL)
Demopolis (AL),1051,Demopolis (AL)
Demopolis Academy (AL),217,Demopolis Academy (AL)
Demopolis Essex (AL),397,Demopolis Essex (AL)
Dixons Mills Marengo (AL),520,Dixons Mills Marengo (AL)
Dora (AL),1071,Dora (AL)
Dothan (AL),1144,Dothan (AL)
Dothan Houston Academy (AL),582,Dothan Houston Academy (AL)
Dothan Northside Methodist Academy (AL),125,Dothan Northside Methodist Academy (AL)
Dothan Northview (AL),440,Dothan Northview (AL)
Dothan Providence Christian (AL),210,Dothan Providence Christian (AL)
Dothan Rehobeth (AL),827,Dothan Rehobeth (AL)
Double Springs Winston County (AL),971,Double Springs Winston County (AL)
Douglas (AL),559,Douglas (AL)
Dozier (AL),366,Dozier (AL)
Drake (AL),103,Drake (AL)
East Brewton W.S. Neal (AL),856,East Brewton W.S. Neal (AL)
East Brewton Ws Neal (AL),20,East Brewton W.S. Neal (AL)
East North Carolina NC (AL),10,East North Carolina (NC)
Eclectic Elmore County (AL),792,Eclectic Elmore County (AL)
Eclectic Academy (AL),28,Eclectic Elmore County (AL)
Eight Mile Blount (AL),732,Eight Mile Blount (AL)
Elba (AL),1006,Elba (AL)
Elkmont (AL),825,Elkmont (AL)
Elmore Edgewood Academy (AL),465,Elmore Edgewood Academy (AL)
Emma Sansom (AL),755,Emma Sansom (AL)
Enterprise (AL),1062,Enterprise (AL)
Erwin (AL),400,Erwin (AL)
Eufaula (AL),1003,Eufaula (AL)
Eufaula Lakeside School (AL),223,Eufaula Lakeside School (AL)
Eutaw (AL),601,Eutaw (AL)
Eutaw Greene County (AL),262,Eutaw Greene County (AL)
Evergreen (AL),543,Evergreen (AL)
Evergreen Hillcrest (AL),241,Evergreen Hillcrest (AL)
Evergreen Sparta Academy (AL),471,Evergreen Sparta Academy (AL)
Excel (AL),890,Excel (AL)
Fairfax Valley (AL),727,Fairfax Valley (AL)
Fairfield (AL),1021,Fairfield (AL)
Fairfield Restoration Academy (AL),121,Fairfield Restoration Academy (AL)
Fairhope (AL),1028,Fairhope (AL)
Fairhope St. Michael Catholic (AL),39,Fairhope St. Michael Catholic (AL)
Fairhope St. Michael (AL),22,Fairhope St. Michael Catholic (AL)
Fairhope Saint Michael Catholic (AL),9,Fairhope St. Michael Catholic (AL)
Falkville (AL),944,Falkville (AL)
Fayette County (AL),1140,Fayette County (AL)
Fayette Hubbertville (AL),797,Fayette Hubbertville (AL)
Flomaton (AL),914,Flomaton (AL)
Florala (AL),966,Florala (AL)
Florence (AL),248,Florence (AL)
Florence Central (AL),239,Florence Central (AL)
Florence Mars Hill Bible (AL),122,Florence Mars Hill Bible (AL)
Florence Rogers (AL),708,Florence Rogers (AL)
Florence Shoals Christian (AL),250,Florence Shoals Christian (AL)
Florence Wilson (AL),597,Florence Wilson (AL)
Foley (AL),1038,Foley (AL)
Foley Snook Christian Academy (AL),46,Foley Snook Christian Academy (AL)
Foley Snook Christian (AL),15,Foley Snook Christian Academy (AL)
Fort Payne (AL),1086,Fort Payne (AL)
Franklin County (AL),1,Franklin County (AL)
Franklin Couty (AL),1,Franklin County (AL)
Frisco City (AL),730,Frisco City (AL)
Fruitdale (AL),634,Fruitdale (AL)
Fyffe (AL),937,Fyffe (AL)
Gadsden (AL),868,Gadsden (AL)
Gadsden Carver (AL),290,Gadsden Carver (AL)
Gadsden City (AL),223,Gadsden City (AL)
Gadsden Coosa Christian (AL),260,Gadsden Coosa Christian (AL)
Gadsden Gaston (AL),762,Gadsden Gaston (AL)
Gadsden Southside (AL),929,Gadsden Southside (AL)
Gardendale (AL),692,Gardendale (AL)
Gardendale Tabernacle (AL),208,Gardendale Tabernacle (AL)
Gaylesville (AL),839,Gaylesville (AL)
Geneva (AL),862,Geneva (AL)
Georgiana (AL),923,Georgiana (AL)
Georgiana South Butler Academy (AL),112,Georgiana South Butler Academy (AL)
Geraldine (AL),942,Geraldine (AL)
Gilbertown Southern Choctaw (AL),906,Gilbertown Southern Choctaw (AL)
Glencoe (AL),1059,Glencoe (AL)
Glenn (AL),191,Glenn (AL)
Glenwood Academy (AL),217,Glenwood Academy (AL)
