Alias_Name,GameCount,Standardized_Name
Hays-Lodgepole (MT),262,Hays-Lodgepole (MT)
Heart Butte (MT),203,Heart Butte (MT)
Helena (MT),802,Helena (MT)
Helena High (MT),8,Helena (MT)
Helena Capital (MT),532,Helena Capital (MT)
Highwood (MT),247,Highwood (MT)
Hot Springs (MT),274,Hot Springs (MT)
Hysham (MT),244,Hysham (MT)
Joliet (MT),276,Joliet (MT)
Joplin Inverness (MT),1,Joplin-Inverness (MT)
Joplin-Inverness (MT),98,Joplin-Inverness (MT)
Jordan Garfield County (MT),338,Jordan Garfield County (MT)
Kalispell Flatehead (MT),1,Kalispell Flathead (MT)
Kalispell Flathead (MT),714,Kalispell Flathead (MT)
Kalispell JV (MT),13,Kalispell Flathead JV (MT)
Kalispell Glacier (MT),212,Kalispell Glacier (MT)
Lambert (MT),107,Lambert (MT)
Lambert Richey (MT),16,Lambert-Richey (MT)
Lambert-Richey (MT),121,Lambert-Richey (MT)
Lame Deer (MT),77,Lame Deer (MT)
Lame Deer Lame Deer (MT),16,Lame Deer (MT)
Laurel (MT),487,Laurel (MT)
Lewistown Fergus (MT),474,Lewistown Fergus (MT)
Libby (MT),454,Libby (MT)
Lima (MT),318,Lima (MT)
Lincoln (MT),175,Lincoln (MT)
Livingston Park (MT),425,Livingston Park (MT)
Lodge Grass (MT),308,Lodge Grass (MT)
Malta-Whitewater-Saco (MT),342,Malta-Whitewater-Saco (MT)
Manhattan-Manhattan Christian (MT),299,Manhattan-Manhattan Christian (MT)
Medicine Lake (MT),126,Medicine Lake (MT)
Medicine Lake Froid Medicine (MT),14,Medicine Lake-Froid (MT)
Medicine Lake-Froid (MT),200,Medicine Lake-Froid (MT)
Miles City Custer County (MT),554,Miles City Custer County (MT)
Missoula (MT),147,Missoula (MT)
Missoula Big Sky (MT),451,Missoula Big Sky (MT)
Missoula Hellgate (MT),512,Missoula Hellgate (MT)
Missoula Loyola Sacred (MT),19,Missoula Loyola-Sacred Heart (MT)
Missoula Loyola-Sacred Heart (MT),334,Missoula Loyola-Sacred Heart (MT)
Missoula Sentinal (MT),1,Missoula Sentinel (MT)
Missoula Sentinel (MT),551,Missoula Sentinel (MT)
Mon Dak [Westby-Grenora] (MT),83,Mon Dak [Westby-Grenora] (MT)
MonDak [Westby-Grenora] (MT),19,Mon Dak [Westby-Grenora] (MT)
Mullan (ID)-Saint Regis (MT),1,Mullan (ID)-Saint Regis (MT)
Mullan (ID)-St. Regis (MT),1,Mullan (ID)-Saint Regis (MT)
Mullan-Saint Regis (MT),4,Mullan (ID)-Saint Regis (MT)
Mullan-St. Regis (MT),22,Mullan (ID)-Saint Regis (MT)
Noxon (MT),221,Noxon (MT)
Park City (MT),392,Park City (MT)
Philipsburg Granite (MT),301,Philipsburg Granite (MT)
Plains (MT),295,Plains (MT)
Plentywood (MT),361,Plentywood (MT)
Polson (MT),435,Polson (MT)
Poplar (MT),241,Poplar (MT)
Power (MT),171,Power (MT)
Power-Dutton-Brady (MT),175,Power-Dutton-Brady (MT)
Red Lodge (MT),319,Red Lodge (MT)
Red Lodge Red Lodge (MT),16,Red Lodge (MT)
Reed Point (MT),1,Reed Point (MT)
Reed Point Reed Point (MT),16,Reed Point (MT)
Reed Point-Rapelje (MT),151,Reed Point-Rapelje (MT)
Richey (MT),113,Richey (MT)
Ronan (MT),415,Ronan (MT)
Rosebud (MT),162,Rosebud (MT)
Roundup (MT),320,Roundup (MT)
Roy-Winifred (MT),124,Roy-Winifred (MT)
Rudyard North Star (MT),210,Rudyard North Star (MT)
St.Ignatius (MT),357,Saint Ignatius (MT)
St. Regis (MT),252,Saint Regis (MT)
Sand Coulee Centerville (MT),397,Sand Coulee Centerville (MT)
Savage (MT),325,Savage (MT)
Savage Warriors (MT),1,Savage (MT)
Scobey Opheim (MT),20,Scobey-Opheim (MT)
Scobey-Opheim (MT),136,Scobey-Opheim (MT)
Scobey-Peerless (MT),159,Scobey-Peerless (MT)
Seeley Lake Seeley Swan (MT),18,Seeley Lake-Swan (MT)
Seeley Lake-Swan (MT),368,Seeley Lake-Swan (MT)
Shelby (MT),395,Shelby (MT)
Shepard (MT),2,Shepherd (MT)
Shepherd (MT),400,Shepherd (MT)
Sheridan (MT),391,Sheridan (MT)
Sidney (MT),503,Sidney (MT)
Simms (MT),345,Simms (MT)
Stanford (MT),220,Stanford (MT)
Stevensville (MT),421,Stevensville (MT)
Sunburst North Toole (MT),15,Sunburst North Toole County (MT)
