Alias_Name,GameCount,Standardized_Name
Harrisonville (MO),609,Harrisonville (MO)
Hayti (MO),471,Hayti (MO)
Hazelwood West (MO),284,Hazelwood West (MO)
Herculaneum (MO),425,Herculaneum (MO)
Hermann (MO),433,Hermann (MO)
Higginsville Lafayette County (MO),509,Higginsville Lafayette County (MO)
Hillsboro (MO),431,Hillsboro (MO)
Hillsboro Grandview (MO),221,Hillsboro Grandview (MO)
Holden (MO),473,Holden (MO)
Hollister (MO),160,Hollister (MO)
Hopkins North Nodaway (MO),318,Hopkins North Nodaway (MO)
Houston (MO),425,Houston (MO)
Hughesville Northwest (MO),173,Hughesville Northwest (MO)
Huntsville Westran (MO),414,Huntsville Westran (MO)
Imperial Seckman (MO),256,Imperial Seckman (MO)
Imperial Windsor (MO),234,Imperial Windsor (MO)
Independence Chrisman (MO),580,Independence Chrisman (MO)
Independence Fort Osage (MO),570,Independence Fort Osage (MO)
Independence St. Mary's (MO),115,Independence St. Mary's (MO)
Independence Truman (MO),525,Independence Truman (MO)
Independence Van Horn (MO),424,Independence Van Horn (MO)
Jackson (MO),668,Jackson (MO)
Jasper (MO),456,Jasper (MO)
Jefferson City (MO),745,Jefferson City (MO)
Jefferson City Blair Oaks (MO),449,Jefferson City Blair Oaks (MO)
Jefferson City Helias (MO),537,Jefferson City Helias (MO)
Jennings (MO),283,Jennings (MO)
Joplin (MO),999,Joplin (MO)
Joplin Cornerstone (MO),118,Joplin Cornerstone (MO)
Joplin Cornerstone Family (MO),5,Joplin Cornerstone (MO)
Joplin McAuley Catholic (MO),128,Joplin McAuley Catholic (MO)
Joplin Memorial (MO),159,Joplin Memorial (MO)
Joplin Parkwood (MO),167,Joplin Parkwood (MO)
Kahoka Clark County (MO),410,Kahoka Clark County (MO)
Kahoka Clark County R-1 (MO),1,Kahoka Clark County (MO)
Kaiser Osage (MO),327,Kaiser Osage (MO)
Kansas City Bishop Hogan (MO),117,Kansas City Bishop Hogan (MO)
Kansas City Bishop Lillis (MO),100,Kansas City Bishop Lillis (MO)
Kansas City Center (MO),598,Kansas City Center (MO)
Kansas City Central (MO),617,Kansas City Central (MO)
Kansas City Kansas City (MO),16,Kansas City Central (MO)
Kansas City De La Salle (MO),139,Kansas City De La Salle (MO)
Kansas City East (MO),343,Kansas City East (MO)
Kansas City Hickman Mills (MO),344,Kansas City Hickman Mills (MO)
Kansas City Hogan Prep Academy (MO),259,Kansas City Hogan Prep Academy (MO)
Kansas City Hogan Prep Charter (MO),99,Kansas City Hogan Prep Academy (MO)
Kansas City HoganPrep Charter (MO),20,Kansas City Hogan Prep Academy (MO)
Kansas City Lincoln College Prep (MO),356,Kansas City Lincoln College Prep (MO)
Kansas City Northeast (MO),513,Kansas City Northeast (MO)
Kansas City Oak Park (MO),621,Kansas City Oak Park (MO)
Kansas City O'Hara (MO),381,Kansas City O'Hara (MO)
Kansas City Park Hill (MO),561,Kansas City Park Hill (MO)
Kansas City Park Hill South (MO),199,Kansas City Park Hill South (MO)
Kansas City Paseo (MO),207,Kansas City Paseo (MO)
Kansas City Pembroke Hill (MO),575,Kansas City Pembroke Hill (MO)
