Alias_Name,GameCount,Standardized_Name
Fort Mcmurray Westwood (AB),7,Fort Mcmurray Westwood (AB)
Fort Saskatchewan (AB),61,Fort Saskatchewan (AB)
Frank Maddock (AB),8,Frank Maddock (AB)
Ft. Mac Comp (AB),1,Fort McMurray Composite (AB)
Grande Prairie (AB),3,Grande Prairie Composite (AB)
Grande Prairie Composite (AB),59,Grande Prairie Composite (AB)
Grande Prairie Peace Wapiti (AB),52,Grande Prairie Peace Wapiti (AB)
Grande Prairie St. Joseph's Catholic (AB),4,Grande Prairie St. Joseph's Catholic (AB)
Hanna Charyk (AB),2,Hanna Charyk (AB)
Hanna J.C. Charyk (AB),7,Hanna J.C. Charyk (AB)
High Prairie (AB),22,High Prairie (AB)
High River Highwood (AB),51,High River Highwood (AB)
Hilltop Whitecourt (AB),52,Hilltop Whitecourt (AB)
Hinton Harry Collinge (AB),13,Hinton Harry Collinge (AB)
"Holy Cross, SK (AB)",1,Holy Cross (SK)
Holy Trinity (AB),1,Holy Trinity (AB)
HTA - MPE region (AB),1,HTA - MPE region (AB)
Innisfail (AB),8,Innisfail (AB)
John Diefenbaker - Calgary (AB),1,John Diefenbaker - Calgary (AB)
"Kelowna, BC (AB)",1,Kelowna (BC)
Lac La Biche J.A. Williams (AB),12,Lac La Biche J.A. Williams (AB)
Leduc Composite (AB),61,Leduc Composite (AB)
Lester B. Pearson (AB),17,Lester B. Pearson (AB)
Lethbridge (AB),109,Lethbridge (AB)
Lethbridge Catholic Central (AB),82,Lethbridge Catholic Central (AB)
Lethbridge Chinook (AB),63,Lethbridge Chinook (AB)
Lethbridge Churchill (AB),2,Lethbridge Churchill (AB)
Lloydminster Comprehensive (AB),70,Lloydminster Comprehensive (AB)
Lloydminster Holy Rosary (AB),87,Lloydminster Holy Rosary (AB)
MCLA (AB),12,MCLA (AB)
Medicine Hat (AB),79,Medicine Hat (AB)
Medicine Hat Crescent Heights (AB),40,Medicine Hat Crescent Heights (AB)
Medicine Hat McCoy (AB),56,Medicine Hat McCoy (AB)
Namao Sturgeon Composite (AB),9,Namao Sturgeon Composite (AB)
Okotoks Foothills Composite (AB),2,Okotoks Foothills Composite (AB)
Okotoks Holy Trinity Academy (AB),61,Okotoks Holy Trinity Academy (AB)
Olds (AB),43,Olds (AB)
Our Lady of Mount Pleasant Catholic (AB),6,Our Lady of Mount Pleasant Catholic (AB)
Peace River (AB),60,Peace River (AB)
Pincer Creek Matthew Halton (AB),1,Pincher Creek Matthew Halton (AB)
Pincher Creek Matthew Halton (AB),45,Pincher Creek Matthew Halton (AB)
Pleasanton Foothills (AB),57,Pleasanton Foothills (AB)
Ponoka Composite (AB),42,Ponoka Composite (AB)
Raymond (AB),91,Raymond (AB)
Red Deer (AB),1,Red Deer (AB)
Red Deer ?cole Secondaire Notre Dame (AB),8,Red Deer Ecole Secondaire Notre Dame (AB)
Red Deer cole Secondaire Notre Dame (AB),55,Red Deer Ecole Secondaire Notre Dame (AB)
Red Deer Hunting Hills (AB),74,Red Deer Hunting Hills (AB)
Red Deer Lindsay Thurber (AB),56,Red Deer Lindsay Thurber (AB)
Regina Dr. Martin Leboldus (AB),1,Regina Dr. Martin Leboldus (AB)
Regina Miller Comprehensive Catholic (AB),1,Regina Miller Comprehensive Catholic (AB)
Rimbey (AB),13,Rimbey (AB)
Rocky Mountain House West Central (AB),65,Rocky Mountain House West Central (AB)
Saint Albert Bellerose (AB),74,Saint Albert Bellerose (AB)
Saint Albert Catholic (AB),80,Saint Albert Catholic (AB)
Saint Albert Paul Kane (AB),65,Saint Albert Paul Kane (AB)
Saint Paul (AB),63,Saint Paul (AB)
Salisbury Composite (AB),78,Salisbury Composite (AB)
Scarlett-Central (AB),6,Scarlett-Central (AB)
Sedgewick Central (AB),7,Sedgewick Central (AB)
Sexsmith (AB),60,Sexsmith (AB)
Sherwood Park Archbishop Jordan (AB),67,Sherwood Park Archbishop Jordan (AB)
Sherwood Park Bev Facey (AB),83,Sherwood Park Bev Facey (AB)
Sherwood Park Salisbury (AB),3,Sherwood Park Salisbury Composite (AB)
Sherwood Park Salisbury Composite (AB),2,Sherwood Park Salisbury Composite (AB)
Slave Lake Roland Michener (AB),6,Slave Lake Roland Michener (AB)
"South Delta, BC (AB)",1,South Delta  (BC)
Spruce Grove Composite (AB),65,Spruce Grove Composite (AB)
St. Albert Kane (AB),1,Saint Albert Paul Kane (AB)
St. Francis (AB),97,St. Francis (AB)
Stettler William E. Hay Composite (AB),67,Stettler William E. Hay Composite (AB)
Strathcona (AB),54,Strathcona (AB)
Strathmore (AB),54,Strathmore (AB)
Sylvan Lake (AB),10,Sylvan Lake (AB)
Sylvan Lake H.J. Cody (AB),63,Sylvan Lake H.J. Cody (AB)
Taber W. R. Myers (AB),56,Taber W. R. Myers (AB)
Taber W.R. Myers (AB),8,Taber W. R. Myers (AB)
Three Hills Prairie Christian (AB),7,Three Hills Prairie Christian (AB)
Valleyview (AB),40,Valleyview (AB)
Vegreville Composite (AB),47,Vegreville Composite (AB)
Vermilion (AB),57,Vermilion (AB)
Vermilion J.R. Robson (AB),6,Vermilion J.R. Robson (AB)
W. H. Croxford (AB),8,Airdrie W.H. Croxford (AB)
W. R. Myers (AB),2,Taber W. R. Myers (AB)
W.H. Croxford (AB),7,Airdrie W.H. Croxford (AB)
Wainwright (AB),66,Wainwright (AB)
Westlock (AB),9,Westlock (AB)
Westlock Richard F. Staples (AB),54,Westlock Richard F. Staples (AB)
Westwood (AB),4,Westwood (AB)
Wetaskiwin Composite (AB),54,Wetaskiwin Composite (AB)
Wetaskiwin County Buck Mountain (AB),8,Wetaskiwin County Buck Mountain (AB)
