Alias_Name,GameCount,Standardized_Name
Eau Claire Regis (WI),378,Eau Claire Regis (WI)
Edgar (WI),598,Edgar (WI)
Edgerton (WI),531,Edgerton (WI)
Elcho-White Lake (WI),219,Elcho-White Lake (WI)
Eleva-Strum (WI),476,Eleva-Strum (WI)
Elk Mound (WI),488,Elk Mound (WI)
Elkhart Lake (WI),213,Elkhart Lake (WI)
Elkhart Lake-Glenbeulah (WI),198,Elkhart Lake-Glenbeulah (WI)
Elkhorn (WI),526,Elkhorn (WI)
Ellsworth (WI),465,Ellsworth (WI)
Elmwood (WI),321,Elmwood (WI)
Elmwood-Plum City (WI),111,Elmwood-Plum City (WI)
Elroy Royall (WI),513,Elroy Royall (WI)
Evansville-Albany (WI),562,Evansville-Albany (WI)
Fall Creek (WI),472,Fall Creek (WI)
Fall River (WI),325,Fall River (WI)
Fall River Rio (WI),18,Fall River-Rio (WI)
Fall River-Rio (WI),126,Fall River-Rio (WI)
Fennimore (WI),538,Fennimore (WI)
Fish Creek Gibraltar (WI),252,Fish Creek Gibraltar (WI)
Florence (WI),430,Florence (WI)
Fond du Lac (WI),572,Fond du Lac (WI)
Fond Du Lac Fond Du (WI),19,Fond du Lac (WI)
Fond du Lac Saint Mary's Springs (WI),438,Fond du Lac St. Mary's Springs (WI)
Fond Du Lac St. Marys (WI),19,Fond du Lac St. Mary's Springs (WI)
Fondulac St Mary's Springs (WI),9,Fond du Lac St. Mary's Springs (WI)
Fond du Lac Winnebago Lutheran Academy (WI),298,Fond du Lac Winnebago Lutheran Academy (WI)
Fondulac Winnebago Lutheran (WI),2,Fond du Lac Winnebago Lutheran Academy (WI)
Fort Atkinson (WI),533,Fort Atkinson (WI)
Franklin (WI),539,Franklin (WI)
Frederic (WI),441,Frederic (WI)
Fredonia Ozaukee (WI),435,Fredonia Ozaukee (WI)
Freedom (WI),451,Freedom (WI)
Galesville Gale Ettrick (WI),18,Galesville Gale-Ettrick (WI)
Galesville Gale-Ettrick (WI),75,Galesville Gale-Ettrick (WI)
Galesville Gale-Ettrick-Trempealeau (WI),498,Galesville Gale-Ettrick-Trempealeau (WI)
Galesville--Gale-Ettrick-Trempealeau (WI),1,Galesville Gale-Ettrick-Trempealeau (WI)
Germantown (WI),591,Germantown (WI)
Gillett (WI),427,Gillett (WI)
Gilman (WI),500,Gilman (WI)
Glendale Nicolet (WI),442,Glendale Nicolet (WI)
Glenwood City (WI),489,Glenwood City (WI)
Grafton (WI),409,Grafton (WI)
Grantsburg (WI),475,Grantsburg (WI)
Green Bay Ashwaubenon (WI),533,Green Bay Ashwaubenon (WI)
Green Bay Bay Port (WI),523,Green Bay Bay Port (WI)
Green Bay East (WI),668,Green Bay East (WI)
Green Bay Notre Dame Academy (WI),411,Green Bay Notre Dame Academy (WI)
Green Bay Preble (WI),601,Green Bay Preble (WI)
Green Bay Southwest (WI),504,Green Bay Southwest (WI)
Green Bay West (WI),597,Green Bay West (WI)
Green Lake (WI),312,Green Lake (WI)
Green Lake Green Lake (WI),4,Green Lake (WI)
Greendale (WI),530,Greendale (WI)
Greendale Martin Luther (WI),20,Greendale Martin Luther Prep (WI)
Greendale Martin Luther Prep (WI),306,Greendale Martin Luther Prep (WI)
Greenfield (WI),468,Greenfield (WI)
Greenfield Whitnall (WI),440,Greenfield Whitnall (WI)
Greenwood (WI),495,Greenwood (WI)
Hammond Saint Croix (WI),19,Hammond St. Croix Central (WI)
Hammond Saint Croix Central (WI),462,Hammond St. Croix Central (WI)
Hartford (WI),570,Hartford (WI)
Hartland Arrowhead (WI),637,Hartland Arrowhead (WI)
Hartland Lake Country (WI),21,Hartland Lake Country Lutheran (WI)
Hartland Lake Country Lutheran (WI),213,Hartland Lake Country Lutheran (WI)
Hayward-Lac Courte Oreilles (WI),480,Hayward-Lac Courte Oreilles (WI)
Hazel Green Southwestern (WI),487,Hazel Green Southwestern (WI)
Highland (WI),469,Highland (WI)
Hilbert (WI),459,Hilbert (WI)
Hillsboro (WI),517,Hillsboro (WI)
Holmen (WI),595,Holmen (WI)
Horicon (WI),662,Horicon (WI)
Hortonville (WI),482,Hortonville (WI)
Howards Grove (WI),445,Howards Grove (WI)
Hudson (WI),494,Hudson (WI)
Hurley (WI),544,Hurley (WI)
Hustisford (WI),387,Hustisford (WI)
Independence (WI),287,Independence (WI)
Independence-Gilmanton (WI),214,Independence-Gilmanton (WI)
Iola Scandinavia (WI),18,Iola-Scandinavia (WI)
Iola-Scandinavia (WI),489,Iola-Scandinavia (WI)
Jackson Kettle Moraine Lutheran (WI),200,Jackson Kettle Moraine Lutheran (WI)
Jackson Living Word (WI),19,Jackson Living Word Lutheran (WI)
Jackson Living Word Lutheran (WI),178,Jackson Living Word Lutheran (WI)
Janesville Craig (WI),546,Janesville Craig (WI)
Janesville Parker (WI),544,Janesville Parker (WI)
Jefferson (WI),537,Jefferson (WI)
Johnson Creek (WI),500,Johnson Creek (WI)
Juneau Dodgeland (WI),496,Juneau Dodgeland (WI)
Kaukauna (WI),543,Kaukauna (WI)
Kenosha Bradford (WI),385,Kenosha Bradford (WI)
Kenosha Bradford Reuther (WI),9,Kenosha Bradford-Reuther (WI)
Kenosha Bradford-Reuther (WI),135,Kenosha Bradford-Reuther (WI)
Kenosha Indian Trail (WI),133,Kenosha Indian Trail (WI)
