ID,Date,Season,Home,Home_Score,Visitor,Visitor_Score,Source,Forfeit,OT,Date_Added
082FDFBD-9E6D-487B-88A9-FB9F4BE3CB95,1986,Drexel Hill Monsignor Bonner (PA),14,Philadelphia Saints John Neumann & Maria Goretti Catholic (PA),0,https://digital.libraries.psu.edu/digital/collection/saylor/id/3461,0.0,,00:00.0
84CEBD2D-EF1B-469B-A869-FB9693AA67A7,1978,Garfield (OH),13,Akron East (OH),0,The Akron Beacon Journal,,0.0,00:02.7
E1AE452A-75F9-40B7-BBB3-FB8D19C5D9F8,1955,Buena Vista McCluer (VA),51,Low Moor Central (VA),7,http://fourseasonsfootball.com/va.html,0.0,,00:00.0
CEAAA5A6-E09F-4C90-B19B-FB7ED6FD1173,1982,Queen (MD),13,Edgewater South River (MD),33,The Baltimore Sun,,0.0,45:19.2
68A2F3B8-384D-40D9-AAF9-FB4417B8B78E,1971,Garfield (OH),47,Akron North (OH),0,The Akron Beacon Journal,,0.0,24:47.3
EB88E20C-F0AC-422A-A950-FB072E51AC16,1980,Drexel Hill Monsignor Bonner (PA),20,Philadelphia Saints John Neumann & Maria Goretti Catholic (PA),8,https://digital.libraries.psu.edu/digital/collection/saylor/id/3461,0.0,,00:00.0
4D7CB146-E60C-44EA-8540-FAD75BF528BE,1999,Bolivar (NY),8,Barker (NY),0,Democrat and Chronicle 1999 10 24 Page 47.txt,0.0,0.0,30:16.0
3773EEA2-FE2A-4486-BD4C-FA8A8305EC47,1977,Wellsboro (PA),61,Blossburg North Penn (PA),6,The Ithaca Journal,,,09:16.2
68F110DF-74DA-40E0-B5AB-FA4249781CEF,1995,Medford (OK),22,Waukomis (OK),0,The Daily Oklahoman,,0.0,30:50.0
63728A77-69C1-46B4-AB1A-FA2C094C5A26,2000,Medford (OK),53,Covington-Douglas (OK),14,The Daily Oklahoman,,0.0,39:48.1
385D8F86-5E16-46FB-8BE9-FA23CE8A1D23,1997,Medford (OK),28,Cherokee (OK),6,The Daily Oklahoman,,0.0,39:48.1
50FDA3FD-F7CD-4B22-B52C-F9DF93916404,1978,Colfax-Mingo (IA),22,Lynnville-Sully (IA),6,http://www.classmates.com/siteui/yearbooks/1000247528?page=82,0.0,,00:00.0
