Name,Game_Count,Suffix_Problem
49,2,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...49' instead"
Billings,2,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...llings' instead"
Decatur Millikin University (IL),2,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...y (IL)' instead"
37,2,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...37' instead"
50,2,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...50' instead"
23,2,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...23' instead"
29,2,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...29' instead"
48,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...48' instead"
53,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...53' instead"
60,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...60' instead"
55,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...55' instead"
61,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...61' instead"
64,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...64' instead"
66,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...66' instead"
71,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...71' instead"
Denison University (OHO,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...y (OHO' instead"
Cortez (B CO),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...(B CO)' instead"
Brinkley Anderson )AR),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...n )AR)' instead"
Bristol Filton College (nd),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...e (nd)' instead"
Bisbee ( AZ),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '... ( AZ)' instead"
44,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...44' instead"
51,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...51' instead"
43,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...43' instead"
52,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...52' instead"
Dothan Grand Ridge (Al),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...e (Al)' instead"
Fond du Lac  Springs,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...prings' instead"
"Methodist Orphanage (Raleigh, NC)",1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...h, NC)' instead"
Luther College (IA),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...e (IA)' instead"
Elma Immaculate Conception,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...eption' instead"
DeWitt Central (lA),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...l (lA)' instead"
Fort Meade Meade County (SD,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ty (SD' instead"
Mount Carroll  (L),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...l  (L)' instead"
"Mills Home (Thomasville, NC)",1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...e, NC)' instead"
Medicine Bow (WY,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...ow (WY' instead"
Red Oak (lA),1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...k (lA)' instead"
Normal State Normal (IL) B,1,"expected the name to end in ' (XX)' (space, open paren, exactly two letters, close paren) -- got '...(IL) B' instead"
