team_id,team_name,season,season_url,raw_schedule_text
2,Follett Panthers,2000,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=2000&GUID=493673087,"Record: 10-2-0   Head Coach: Rob Buffa
WK Team SC Team SC    
9/8  PFollettv 72 mHappyv 58
9/15  PFollettv 62 nGreenville Christianv 22
4  LMelrose, NMv 60 PFolletta 48 E
9/22  PFollett) 64 PSamnorwoodv 19
5  PFollettv 46 mTyrone, OKy 0 E
6  PFollettv 76 LFort Elliottv 46
7  PFolletta 48 #Higginsy 0
8  PFollettv 60 nLeforsv 12 D
9  PFollettv 68 7McLeanv 20 D
10  PFolletta 48 LMiamiv 28 D
11  PFollettv 46 TValleyv 26 B
11/24  nWhitharral @Valleyv 44 PFollettv 30 R



"
2,Follett Panthers,1999,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1999&GUID=3418083787,"Record: 8-3-0   Head Coach: Dale Means
WK Team SC Team SC    
1  PFollettv 34 xPorcupine Plain Saskv 20 E
2  7McLeanv 52 PFollettv 44
9/17  PFolletta 48 PSamnorwoodv 46
4  PFollett7 55 PForgan, OKd 7
5  PFollettv 61 PTrinity Fellowships 14
6  *Groomv 40 PFolletts 14
7  PFollettv 59 #Higginsv 38
8  PFollettv 52 nLeforsv 26
9  PFollettv 76 LFort Elliottv 39
10  PFollettv 60 LMiamiv 31
11  7McLean$ 45 PFollettv 42 B



"
2,Follett Panthers,1998,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1998&GUID=1989059449,"Record: 8-2-0   Head Coach: Dale Means
WK Team SC Team SC    
1  PFollettv 77 xPorcupine Plain Saskv 20 E
2  PFollettv 40 7McLeanv 31
9/18  PFollettv 28 PSamnorwoods 14
4  PFollettv 70 PBuena Vistav 34
10/2  PFollettv 79 nGreenville Christianv 40
6  *Groomv 57 PFollettp 8
7  PFollettv 52 #Higginsd 7
8  PFollettv 56 nLeforsf 6
9  PFollettv 54 LFort Elliottd 7
10  LMiamit 50 PFollettv 38



"
2,Follett Panthers,1997,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1997&GUID=8931924700,"Record: 10-1-0   Head Coach: Dale Means
WK Team SC Team SC    
9/5  PFolletts 14 LMiamiv 12
9/12  PFollettv 52 7McLeanf 6
9/19  PFollettv 56 #Higginsv 9
9/26  PFollett) 64 nWhitharral @Groomv 35
10/3  PFollettv 60 nGreenville Christians 14
10/10  PFollettv 53 #Higginsv 32 D
10/17  PFollettv 54 3Christianp 8
10/24  PFollettt 50 LMiamia 48 D
10/31  PFolletta 48 *Groomv 28 D
11/14  PFollettv 58 nChillicothev 30 B
11/21  TLazbuddie @Grooma 48 PFolletts 14 R



"
2,Follett Panthers,1996,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1996&GUID=5447536707,"Record: 6-3-0   Head Coach: Mitch Cowan
WK Team SC Team SC    
1  PFollettv 36 LMiamiv 32
2  PFollettv 40 7McLeanv 2
3  PFollettv 40 #Higgins8 13
9/27  nWhitharral @Grooma 48 PFolletty 0
6  PFollettv 42 #Higginsv 12
7  PFollettv 52 LFort Elliottv 19
8  LMiamiv 60 PFollettv 38
9  PFollettt 50 nLeforsy 0
10  *Groomv 61 PFollettv 32 D



"
2,Follett Panthers,1995,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1995&GUID=5900700688,"Record: 3-7-0   
WK Team SC Team SC    
9/8  LMiamiv 24 PFollettr 16
9/15  PFollettv 35 7McLeanv 24
9/22  nChillicothet 50 PFollettv 20
10/6  PFollettv 34 nLeforss 14
10/13  #Higginsv 27 PFollettv 22 D
9/29  PFollettv 40 nLeforsv 20
10/20  PSamnorwoodv 40 PFollettv 20 D
10/27  LMiamiv 24 PFollettv 20 D
11/3  #Higginsv 31 PFollettv 20 D
11/10  7McLeana 48 PFolletts 14 D



"
2,Follett Panthers,1994,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1994&GUID=9852793216,"Record: 6-5-0   
WK Team SC Team SC    
1  PFollettv 26 LMiamiv 22
2  7McLeanv 24 PFollettv 20
9/16  PFollett$ 45 nChillicothev 44
4  nLeforsv 59 PFollettv 44
5  PFollettv 66 #Higginsv 19
6  PFollettv 68 nLeforsv 42
10/14  PSamnorwoodt 50 PFolletty 0 D
8  LMiamiv 36 PFollettv 32
9  PFolletta 48 #Higginsv 12
11/4  PFollettv 40 7McLeanv 20 D
11/11  TLazbuddie @McLeanv 72 PFollettv 44 B



"
2,Follett Panthers,1993,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1993&GUID=5340723395,"Record: 0-8-0   
WK Team SC Team SC    
9/3  LMiamiv 47 PFollettv 18
9/10  7McLean7 55 PFolletts 14
10/1  *Silvertonv 70 PFollettv 26
10/8  nLeforsv 68 PFollettv 18 D
10/15  *Groomv 58 PFollett8 13 D
10/22  7McLeanv 102 PFollettv 69 D
10/29  LMiamiv 40 PFollettv 37 D
11/5  #Higginsv 72 PFollettv 46 D



"
2,Follett Panthers,1992,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1992&GUID=6221140623,"Record: 6-3-0   
WK Team SC Team SC    
9/11  7McLeanv 61 PFollettv 36
9/25  PFollettt 50 #Higginsp 8
10/2  PFollettv *Silvertonv
  PFollettv 52 LMiamif 6
9/18  PFollettv 36 nLeforsy 0 D
10/16  *Groomv 32 PFollettv 30 D
10/30  PFollettv 49 LMiamiy 0 D
11/5  PFollettv 52 #Higginsf 6 D
  PFollettv 49 nLeforss 14 D
  7McLeanv 77 PFollettv 76 D



"
2,Follett Panthers,1991,https://lonestarfootball.net/team.asp?action=schedule&T=2&S=1991&GUID=8891473412,"Record: 3-2-0   
WK Team SC Team SC    
  *Silvertonv 54 PFollettf 6
9/27  PFollettv 32 #Higginsv 20 D
10/11  LMiamiv 46 PFollettv 44 D
10/25  PFolletta 48 #Higginsy 0 D
  PFollettv 42 *Grooms 14 D



"
