National_Rank,Team,State,Combined_2025,Margin,Win_Loss,Offense,Defense,Games_Played,Total_Seasons,Previous_Best,Improvement,StateRank,Is_State_Top,Is_Program_Record,Recognition_Type,TeamPageUrl,HasTeamPage,Website_Status,Athletic_Director,AD_Email,Head_Coach,Coach_Email,Athletic_Dept_Email,Main_Phone,Contact_Notes,Email_Sent_Date,Email_Status,Response_Notes
333,Springdale Shiloh Christian (AR),(AR),43.839,53.479,3.568,24.909,2.78,13,36,38.3278,5.5112,4,0,1,Program Record,,False,,,,,,,,,,,
334,Fort Mill Indian Land (SC),(SC),43.807,52.671,4.375,25.912,1.211,13,66,24.1214,19.6856,13,0,1,Program Record,,False,,,,,,,,,,,
337,Chippewa Falls McDonell Central Catholic (WI),(WI),43.736,54.264,3.109,37.042,-6.584,12,54,18.0511,25.6849,5,0,1,Program Record,,False,,,,,,,,,,,
346,Temecula Chaparral (CA),(CA),43.581,53.317,3.826,32.707,6.584,12,29,41.046,2.535,18,0,1,Program Record,,False,,,,,,,,,,,
348,Wichita Kapaun Mount Carmel (KS),(KS),43.53,53.685,3.398,29.865,-1.845,13,70,42.0334,1.4966,4,0,1,Program Record,,False,,,,,,,,,,,
353,Marion Tabor Academy (MA),(MA),43.438,53.799,4.106,29.379,-2.043,9,62,37.356,6.082,1,1,1,Double Recognition,,False,,,,,,,,,,,
354,Boise Bishop Kelly (ID),(ID),43.383,51.968,4.526,26.726,0.599,13,60,40.9518,2.4312,5,0,1,Program Record,,False,,,,,,,,,,,
355,Fort Lauderdale Archbishop McCarthy (FL),(FL),43.374,52.128,3.256,17.5,1.282,13,27,34.5174,8.8566,28,0,1,Program Record,,False,,,,,,,,,,,
357,Lexington White Knoll (SC),(SC),43.354,52.088,3.88,19.166,-3.603,12,25,40.0995,3.2545,14,0,1,Program Record,,False,,,,,,,,,,,
364,Wilmington Hoggard (NC),(NC),43.099,51.433,4.912,21.114,0.947,13,58,40.1123,2.9867,17,0,1,Program Record,,False,,,,,,,,,,,
374,Tacoma Mt.Tahoma (WA),(WA),42.796,51.195,4.165,26.664,0.342,12,62,25.2596,17.5364,5,0,1,Program Record,,False,,,,,,,,,,,
378,Columbus Carver (GA),(GA),42.714,51.317,2.938,21.777,7.555,15,66,40.7582,1.9558,40,0,1,Program Record,,False,,,,,,,,,,,
384,Moncks Corner Berkeley (SC),(SC),42.646,51.428,3.85,25.704,0.71,13,83,40.9556,1.6904,17,0,1,Program Record,,False,,,,,,,,,,,
391,Wilmington Salesianum (DE),(DE),42.417,51.759,3.074,17.173,-0.781,13,98,40.0551,2.3619,1,1,1,Double Recognition,,False,,,,,,,,,,,
399,Lake Oswego Lakeridge (OR),(OR),42.271,51.019,3.974,25.531,-1.309,11,53,36.0682,6.2028,3,0,1,Program Record,,False,,,,,,,,,,,
403,Overland Park St. Thomas Aquinas (KS),(KS),42.153,51.121,3.808,27.24,-4.479,10,46,41.1139,1.0391,7,0,1,Program Record,,False,,,,,,,,,,,
404,Richmond Benedictine (VA),(VA),42.152,51.265,3.897,19.34,-5.969,12,110,35.8799,6.2721,3,0,1,Program Record,,False,,,,,,,,,,,
412,Republic (MO),(MO),41.964,50.39,3.364,21.737,3.974,12,54,29.8492,12.1148,15,0,1,Program Record,,False,,,,,,,,,,,
417,Royse City (TX),(TX),41.808,50.396,3.393,24.475,3.009,11,104,38.0184,3.7896,81,0,1,Program Record,,False,,,,,,,,,,,
1321,Abbotsford Mouat (BC),(BC),29.426,34.08,2.433,10.873,12.682,14,30,7.2873,22.1387,1,1,1,Double Recognition,,False,,,,,,,,,,,
