Team,State,Combined_2025,National_Rank,State_Rank,Previous_Best,Improvement,Games_Played,Total_Seasons,Recognition_Type,Is_State_Top,Is_Program_Record,Website,Recipient_Name,Recipient_Email,Subject_Line,Email_Body
Kimberly (ID),ID,28.58,1420,20,20.76,7.82,12,51,Program Record,0,1,,,,,
Cave Creek Cactus Shadows (AZ),AZ,28.56,1421,24,27.93,0.63,12,41,Program Record,0,1,,,,,
Boca Raton St.Andrew's (FL),FL,28.43,1439,102,27.19,1.24,11,44,Program Record,0,1,,,,,
Quarryville Solanco (PA),PA,28.26,1454,49,26.79,1.47,13,74,Program Record,0,1,,,,,
Hollis (OK),OK,28.23,1458,20,26.67,1.56,12,100,Program Record,0,1,,,,,
Blanchard Montabella (MI),MI,28.15,1465,46,-7.22,35.38,16,58,Program Record,0,1,,,,,
Hudson (MI),MI,28.12,1469,48,24.55,3.57,14,84,Program Record,0,1,,,,,
Cameron Union Pines (NC),NC,28.09,1472,43,12.92,15.17,13,61,Program Record,0,1,,,,,
Billings Central Catholic (MT),MT,27.79,1496,1,43.82,-16.03,12,63,Top-Rated in State,1,0,,,,,
Spring Hill (KS),KS,27.79,1497,36,13.27,14.52,10,84,Program Record,0,1,,,,,
Tucson Desert View (AZ),AZ,27.79,1498,28,13.46,14.33,12,40,Program Record,0,1,,,,,
Fergus Falls (MN),MN,27.65,1508,24,25.76,1.89,11,81,Program Record,0,1,,,,,
Munford (TN),TN,27.48,1521,30,27.17,0.31,12,68,Program Record,0,1,,,,,
Holdingford (MN),MN,27.46,1523,25,18.59,8.87,13,57,Program Record,0,1,,,,,
Salem Glenvar (VA),VA,27.39,1528,28,20.31,7.08,14,53,Program Record,0,1,,,,,
Big Rapids (MI),MI,27.37,1532,52,18.49,8.88,13,101,Program Record,0,1,,,,,
Johnstown Bishop McCort (PA),PA,27.3,1544,52,26.61,0.7,13,102,Program Record,0,1,,,,,
Laguna Beach (CA),CA,27.23,1555,81,27.0,0.23,11,82,Program Record,0,1,,,,,
Maplewood Hill-Murray (MN),MN,27.23,1556,26,24.18,3.04,9,59,Program Record,0,1,,,,,
Naples Lely (FL),FL,27.2,1557,109,25.17,2.02,12,51,Program Record,0,1,,,,,
Joshua (TX),TX,27.18,1558,248,26.17,1.01,9,84,Program Record,0,1,,,,,
South Beloit (IL),IL,26.95,1579,54,25.71,1.24,8,79,Program Record,0,1,,,,,
Hutchinson Central Christian (KS),KS,26.89,1593,38,23.12,3.77,11,49,Program Record,0,1,,,,,
Ridgeley Frankfort (WV),WV,26.87,1595,6,24.58,2.29,13,49,Program Record,0,1,,,,,
Newport Croatan (NC),NC,26.74,1608,45,9.19,17.56,13,27,Program Record,0,1,,,,,
Othello (WA),WA,26.74,1609,29,26.66,0.08,11,52,Program Record,0,1,,,,,
Oakfield (WI),WI,26.69,1619,29,25.57,1.12,7,55,Program Record,0,1,,,,,
Richmond Armstrong-Kennedy (VA),VA,26.65,1626,35,14.71,11.94,13,25,Program Record,0,1,,,,,
Wall (SD),SD,26.4,1654,5,26.22,0.18,12,50,Program Record,0,1,,,,,
Fort Benton (MT),MT,26.36,1659,2,17.2,9.16,12,53,Program Record,0,1,,,,,
San Francisco Sacred Heart (CA),CA,26.24,1672,88,18.92,7.31,13,50,Program Record,0,1,,,,,
Orting (WA),WA,26.04,1709,31,21.5,4.54,12,52,Program Record,0,1,,,,,
Ocala Christian Academy (FL),FL,26.04,1711,116,22.28,3.76,9,34,Program Record,0,1,,,,,
Cheney (KS),KS,25.91,1722,42,24.66,1.25,11,90,Program Record,0,1,,,,,
Indian River Inland Lakes (MI),MI,25.81,1733,60,21.94,3.86,10,70,Program Record,0,1,,,,,
Norton (OH),OH,25.79,1736,98,20.77,5.02,12,79,Program Record,0,1,,,,,
Chester (TX),TX,25.58,1763,280,7.72,17.86,12,90,Program Record,0,1,,,,,
Northport Northside (AL),AL,25.56,1769,45,13.48,12.08,12,66,Program Record,0,1,,,,,
Elizabeth Forward (PA),PA,25.53,1774,59,22.51,3.02,11,111,Program Record,0,1,,,,,
Great Mills (MD),MD,25.36,1795,32,14.02,11.34,11,45,Program Record,0,1,,,,,
Sanford (CO),CO,24.95,1852,24,24.79,0.16,12,68,Program Record,0,1,,,,,
Chehalis W.F. West (WA),WA,24.71,1888,34,23.15,1.57,11,61,Program Record,0,1,,,,,
Seale Russell County (AL),AL,24.71,1889,48,22.61,2.11,12,71,Program Record,0,1,,,,,
Brownstown Central (IN),IN,24.64,1903,40,24.3,0.34,15,56,Program Record,0,1,,,,,
Panhandle (TX),TX,24.6,1910,297,22.26,2.34,12,103,Program Record,0,1,,,,,
Pryor (OK),OK,24.39,1949,26,21.65,2.75,12,74,Program Record,0,1,,,,,
Little Chute (WI),WI,24.3,1959,39,23.35,0.94,14,64,Program Record,0,1,,,,,
Winter Haven All Saints' Academy (FL),FL,24.15,1977,129,-6.78,30.93,10,25,Program Record,0,1,,,,,
Warwick Bishop Hendricken (RI),RI,24.06,1985,1,37.78,-13.71,10,64,Top-Rated in State,1,0,,,,,
Turner Cascade (OR),OR,23.81,2018,17,15.29,8.53,13,75,Program Record,0,1,,,,,
Miami Goleman (FL),FL,23.6,2044,133,18.84,4.76,13,27,Program Record,0,1,,,,,
Wilmington Howard (DE),DE,23.6,2047,6,21.63,1.97,12,78,Program Record,0,1,,,,,
Pennington (NJ),NJ,23.4,2074,43,19.49,3.91,9,58,Program Record,0,1,,,,,
Greer Riverside (SC),SC,23.27,2092,60,19.89,3.38,11,52,Program Record,0,1,,,,,
Springfield (MN),MN,23.1,2123,35,20.03,3.07,10,43,Program Record,0,1,,,,,
Hingham (MA),MA,23.06,2127,13,20.35,2.71,11,97,Program Record,0,1,,,,,
Breese Central (IL),IL,23.03,2135,72,18.67,4.36,13,50,Program Record,0,1,,,,,
Elko (NV),NV,22.99,2145,7,16.78,6.21,11,58,Program Record,0,1,,,,,
Tsawwassen South Delta (BC),BC,22.83,2167,3,6.37,16.46,13,29,Program Record,0,1,,,,,
Carnesville Franklin County (GA),GA,22.77,2171,151,20.49,2.28,11,68,Program Record,0,1,,,,,
McClave (CO),CO,22.75,2173,32,7.1,15.65,12,51,Program Record,0,1,,,,,
Tioga (LA),LA,22.64,2188,44,20.43,2.21,12,62,Program Record,0,1,,,,,
Mount Zion (IL),IL,22.63,2189,77,20.7,1.93,10,61,Program Record,0,1,,,,,
Tavares (FL),FL,22.53,2208,142,20.86,1.67,11,55,Program Record,0,1,,,,,
West Hartford Kingswood-Oxford (CT),CT,22.5,2215,17,20.87,1.63,10,76,Program Record,0,1,,,,,
Cheney (WA),WA,22.36,2230,40,14.52,7.84,10,64,Program Record,0,1,,,,,
Morrice (MI),MI,22.21,2251,75,9.36,12.85,13,78,Program Record,0,1,,,,,
Coquitlam Centennial (BC),BC,22.08,2271,5,-7.97,30.04,12,43,Program Record,0,1,,,,,
Louisville Atherton (KY),KY,22.02,2283,28,12.09,9.93,14,73,Program Record,0,1,,,,,
Centerburg (OH),OH,22.01,2285,138,16.78,5.23,12,70,Program Record,0,1,,,,,
Tolono Unity (IL),IL,21.93,2300,84,21.24,0.69,14,61,Program Record,0,1,,,,,
Kingston (MI),MI,21.76,2324,79,18.7,3.06,13,73,Program Record,0,1,,,,,
Strasburg (VA),VA,21.68,2336,54,17.0,4.68,13,95,Program Record,0,1,,,,,
Hillsboro Glencoe (OR),OR,21.64,2343,21,21.01,0.63,10,45,Program Record,0,1,,,,,
Hugoton (KS),KS,21.6,2350,60,17.62,3.98,10,86,Program Record,0,1,,,,,
Bremerton Olympic (WA),WA,21.38,2372,48,17.95,3.43,11,47,Program Record,0,1,,,,,
Pillager (MN),MN,20.97,2425,41,9.37,11.59,9,53,Program Record,0,1,,,,,
Palmyra-Macedon (NY),NY,20.82,2447,14,8.26,12.55,9,61,Program Record,0,1,,,,,
Chicago Kenwood (IL),IL,20.67,2475,91,17.95,2.72,11,55,Program Record,0,1,,,,,
Chillicothe Unioto (OH),OH,20.53,2489,146,17.54,2.99,12,54,Program Record,0,1,,,,,
McDonald Fort Cherry (PA),PA,20.51,2493,92,17.3,3.21,13,66,Program Record,0,1,,,,,
Cincinnati Hills Christian Academy (OH),OH,20.42,2513,147,19.94,0.49,11,31,Program Record,0,1,,,,,
Mountlake Terrace (WA),WA,20.41,2516,51,14.34,6.07,10,60,Program Record,0,1,,,,,
Brownstown Woodhaven (MI),MI,20.28,2533,90,18.5,1.78,12,52,Program Record,0,1,,,,,
Chapmanville Regional (WV),WV,20.24,2538,10,9.9,10.34,13,76,Program Record,0,1,,,,,
London South Laurel (KY),KY,20.2,2548,30,13.57,6.63,12,33,Program Record,0,1,,,,,
Altoona (WI),WI,20.13,2561,61,12.92,7.21,11,54,Program Record,0,1,,,,,
Barstow (CA),CA,19.94,2593,129,17.3,2.65,16,73,Program Record,0,1,,,,,
Claude (TX),TX,19.92,2597,376,10.37,9.56,11,101,Program Record,0,1,,,,,
Algoma (WI),WI,19.9,2598,62,17.3,2.6,6,68,Program Record,0,1,,,,,
Wausa (NE),NE,19.88,2605,31,19.12,0.76,10,56,Program Record,0,1,,,,,
Warren Fitzgerald (MI),MI,19.88,2606,92,14.62,5.26,13,75,Program Record,0,1,,,,,
Lake Mills (WI),WI,19.86,2607,63,18.99,0.88,11,71,Program Record,0,1,,,,,
Pine Island (MN),MN,19.81,2614,46,16.17,3.65,9,59,Program Record,0,1,,,,,
Fernley (NV),NV,19.74,2627,13,18.01,1.73,12,41,Program Record,0,1,,,,,
London North Laurel (KY),KY,19.69,2631,33,13.16,6.54,12,33,Program Record,0,1,,,,,
Norfolk Academy (VA),VA,19.66,2641,61,11.26,8.4,9,62,Program Record,0,1,,,,,
Sauk Rapids (MN),MN,19.65,2642,47,9.3,10.35,10,40,Program Record,0,1,,,,,
Russellville Logan County (KY),KY,19.47,2664,34,15.68,3.79,13,41,Program Record,0,1,,,,,
Gadsden Coosa Christian (AL),AL,19.47,2665,68,18.39,1.08,15,33,Program Record,0,1,,,,,
Jena (LA),LA,19.45,2672,54,18.98,0.48,14,78,Program Record,0,1,,,,,
Meriden Jefferson West (KS),KS,19.42,2679,67,16.56,2.86,11,56,Program Record,0,1,,,,,
Felton Lake Forest (DE),DE,19.37,2685,8,14.25,5.12,12,56,Program Record,0,1,,,,,
Downey St. Pius X (CA),CA,19.31,2697,132,17.63,1.68,14,44,Program Record,0,1,,,,,
Rochester (WA),WA,19.26,2706,52,11.32,7.94,11,54,Program Record,0,1,,,,,
McKeesport South Allegheny (PA),PA,19.2,2718,99,12.83,6.37,12,60,Program Record,0,1,,,,,
West Bend West (WI),WI,19.07,2746,66,13.46,5.61,10,55,Program Record,0,1,,,,,
Murray (KY),KY,19.03,2753,35,18.08,0.95,15,62,Program Record,0,1,,,,,
Breckenridge (MN),MN,18.99,2757,51,16.87,2.12,14,74,Program Record,0,1,,,,,
Cross Plains East Robertson (TN),TN,18.92,2773,57,17.78,1.14,13,76,Program Record,0,1,,,,,
Edwardsville Metro-East Lutheran (IL),IL,18.3,2867,99,-16.45,34.75,9,34,Program Record,0,1,,,,,
Warrior Corner (AL),AL,18.3,2869,73,13.33,4.98,11,80,Program Record,0,1,,,,,
Rainsville Plainview (AL),AL,18.16,2900,75,15.48,2.68,14,68,Program Record,0,1,,,,,
Cullman Fairview (AL),AL,18.12,2905,76,13.46,4.67,13,69,Program Record,0,1,,,,,
Anderson McDonald County (MO),MO,17.94,2936,69,11.47,6.47,10,63,Program Record,0,1,,,,,
Frederic (WI),WI,17.91,2941,70,6.92,11.0,7,54,Program Record,0,1,,,,,
Miami Ransom Everglades (FL),FL,17.69,2981,179,12.89,4.8,12,40,Program Record,0,1,,,,,
Lapel (IN),IN,17.61,2996,64,9.23,8.38,14,50,Program Record,0,1,,,,,
Lindsay (TX),TX,17.48,3024,412,14.4,3.08,14,65,Program Record,0,1,,,,,
Holdenville (OK),OK,17.4,3035,44,17.0,0.4,12,82,Program Record,0,1,,,,,
Bridgeport (NE),NE,17.39,3037,39,15.8,1.6,11,59,Program Record,0,1,,,,,
Kanab (UT),UT,17.37,3041,52,11.55,5.82,12,56,Program Record,0,1,,,,,
Lancaster (CA),CA,17.35,3046,153,15.15,2.2,11,36,Program Record,0,1,,,,,
Sterling (KS),KS,17.23,3070,73,8.71,8.52,13,108,Program Record,0,1,,,,,
Mansfield (AR),AR,17.22,3071,31,9.36,7.86,13,54,Program Record,0,1,,,,,
Frankston (TX),TX,17.17,3080,416,8.92,8.25,12,67,Program Record,0,1,,,,,
El Paso (IL),IL,17.12,3087,105,14.82,2.3,11,48,Program Record,0,1,,,,,
Victorville Victor Valley (CA),CA,16.97,3110,156,14.8,2.16,12,66,Program Record,0,1,,,,,
Renton Hazen (WA),WA,16.93,3115,59,11.31,5.62,9,55,Program Record,0,1,,,,,
Alamo Wheeler County (GA),GA,16.84,3131,202,13.14,3.7,13,58,Program Record,0,1,,,,,
Saco Thornton Academy (ME),ME,16.68,3162,1,65.87,-49.2,12,110,Top-Rated in State,1,0,,,,,
Ronda East Wilkes (NC),NC,16.39,3223,110,14.09,2.3,12,55,Program Record,0,1,,,,,
Reedley Immanuel (CA),CA,16.31,3238,166,14.17,2.14,14,54,Program Record,0,1,,,,,
Alexandria-Monroe (IN),IN,16.23,3257,67,9.96,6.27,10,63,Program Record,0,1,,,,,
Buhl (ID),ID,16.23,3260,33,14.22,2.01,10,54,Program Record,0,1,,,,,
Nampa Christian (ID),ID,16.11,3285,34,2.09,14.02,11,50,Program Record,0,1,,,,,
Benton (IL),IL,15.83,3332,110,14.42,1.41,9,77,Program Record,0,1,,,,,
Hardin (TX),TX,15.81,3338,439,9.0,6.81,13,81,Program Record,0,1,,,,,
Conifer (CO),CO,15.54,3393,47,11.78,3.76,11,28,Program Record,0,1,,,,,
Kansas City Piper (KS),KS,15.52,3396,83,14.92,0.6,10,62,Program Record,0,1,,,,,
Kent City (MI),MI,15.41,3414,130,5.94,9.47,16,81,Program Record,0,1,,,,,
