Team,State,Combined_2025,National_Rank,State_Rank,Previous_Best,Improvement,Games_Played,Total_Seasons,Recognition_Type,Is_State_Top,Is_Program_Record,Website,Recipient_Name,Recipient_Email,Subject_Line,Email_Body
Choteau (MT),MT,4.62,5752,24,3.95,0.67,11,54,Program Record,0,1,,,,,
Oklahoma City Mount St. Mary (OK),OK,4.28,5843,110,1.1,3.18,11,63,Program Record,0,1,,,,,
Hico Midland Trail (WV),WV,3.79,5925,30,2.66,1.14,12,49,Program Record,0,1,,,,,
Hayden (CO),CO,3.79,5927,96,0.45,3.34,9,55,Program Record,0,1,,,,,
Gainesville St.Francis Catholic (FL),FL,3.67,5951,322,-5.12,8.8,7,32,Program Record,0,1,,,,,
Johnson-Stanton County (KS),KS,3.61,5962,149,2.19,1.42,7,44,Program Record,0,1,,,,,
Southington Chalker (OH),OH,3.24,6056,337,-5.59,8.83,11,51,Program Record,0,1,,,,,
Bronson (MI),MI,3.2,6067,264,1.02,2.18,12,83,Program Record,0,1,,,,,
Heyworth (IL),IL,3.01,6114,206,-8.85,11.86,11,60,Program Record,0,1,,,,,
Monroe South Sevier County (UT),UT,2.9,6140,74,1.53,1.37,12,55,Program Record,0,1,,,,,
Granite Falls (WA),WA,1.84,6386,130,-0.41,2.25,10,55,Program Record,0,1,,,,,
Seattle Chief Sealth (WA),WA,1.83,6388,131,-4.32,6.15,10,50,Program Record,0,1,,,,,
Paris (MO),MO,1.65,6428,144,1.24,0.41,10,53,Program Record,0,1,,,,,
Fairland (OK),OK,1.27,6515,120,-5.42,6.69,13,58,Program Record,0,1,,,,,
Westford Nashoba Valley Tech (MA),MA,1.0,6573,101,-0.18,1.18,11,48,Program Record,0,1,,,,,
Federalsburg Colonel Richardson (MD),MD,0.74,6637,104,0.29,0.45,10,46,Program Record,0,1,,,,,
Cedar Vale (KS),KS,-0.19,6865,170,-9.82,9.62,9,64,Program Record,0,1,,,,,
Darby (MT),MT,-0.3,6883,33,-1.18,0.88,9,51,Program Record,0,1,,,,,
Oblong (IL),IL,-1.1,7084,242,-12.25,11.15,9,57,Program Record,0,1,,,,,
White River Junction Hartford (VT),VT,-1.17,7101,1,47.42,-48.59,10,92,Top-Rated in State,1,0,,,,,
Springport (MI),MI,-1.2,7107,308,-3.65,2.45,13,80,Program Record,0,1,,,,,
Petersburg (WV),WV,-1.27,7121,37,-1.51,0.23,11,92,Program Record,0,1,,,,,
Logan (KS),KS,-1.71,7225,174,-11.75,10.05,10,49,Program Record,0,1,,,,,
Hanover River Ridge (IL),IL,-1.77,7243,248,-16.13,14.36,8,26,Program Record,0,1,,,,,
Mount Calm (TX),TX,-2.31,7409,820,-4.55,2.24,10,44,Program Record,0,1,,,,,
Adrian Madison (MI),MI,-2.44,7441,323,-4.03,1.59,11,59,Program Record,0,1,,,,,
Collbran Plateau Valley (CO),CO,-3.0,7590,117,-5.87,2.87,10,53,Program Record,0,1,,,,,
Franklin Pendleton County (WV),WV,-3.11,7617,42,-3.6,0.49,13,29,Program Record,0,1,,,,,
Priest River (ID),ID,-3.82,7792,71,-6.85,3.02,10,55,Program Record,0,1,,,,,
Hillman (MI),MI,-5.27,8095,353,-11.51,6.24,12,73,Program Record,0,1,,,,,
Mcdermott Northwest (OH),OH,-5.38,8118,435,-8.86,3.48,10,55,Program Record,0,1,,,,,
Tierra Amarilla Escalante (NM),NM,-5.51,8153,29,-20.1,14.59,12,50,Program Record,0,1,,,,,
Mission Todd County (SD),SD,-7.25,8538,50,-11.54,4.29,10,50,Program Record,0,1,,,,,
Queens Bryant (NY),NY,-7.41,8568,159,-10.98,3.57,11,46,Program Record,0,1,,,,,
Lakeside Danbury (OH),OH,-9.6,9092,482,-15.97,6.36,11,49,Program Record,0,1,,,,,
New Castle Craig County (VA),VA,-9.98,9184,218,-10.94,0.97,12,55,Program Record,0,1,,,,,
Dryden (MI),MI,-10.76,9369,405,-11.23,0.48,9,70,Program Record,0,1,,,,,
Waldron (MI),MI,-10.98,9426,407,-11.58,0.6,9,71,Program Record,0,1,,,,,
Brimley (MI),MI,-11.33,9514,409,-18.35,7.02,9,69,Program Record,0,1,,,,,
Sylacauga Fayetteville (AL),AL,-13.27,9930,261,-15.92,2.66,11,28,Program Record,0,1,,,,,
