State_Code,Season,Teams,Total_Games,Actual_Avg_Games,Expected_Games_Per_Team,Coverage_Pct,Priority,Games_Gap
(ID),1968,91,295,3.24,4.0,81.0,GOOD,0.76
(CA),1964,598,2427,4.06,5.0,81.2,GOOD,0.94
(ID),1961,89,289,3.25,4.0,81.25,GOOD,0.75
(DC),1962,8,26,3.25,4.0,81.25,GOOD,0.75
(ND),1963,12,39,3.25,4.0,81.25,GOOD,0.75
(AK),1966,4,13,3.25,4.0,81.25,GOOD,0.75
(GA),1961,325,1326,4.08,5.0,81.6,GOOD,0.92
(MN),1965,66,216,3.27,4.0,81.75,GOOD,0.73
(MN),1966,75,245,3.27,4.0,81.75,GOOD,0.73
(CA),1969,782,3199,4.09,5.0,81.8,GOOD,0.91
(MN),1960,412,1350,3.28,4.0,82.0,GOOD,0.72
(ME),1961,46,151,3.28,4.0,82.0,GOOD,0.72
(CT),1962,54,177,3.28,4.0,82.0,GOOD,0.72
(GA),1969,378,1549,4.1,5.0,82.0,GOOD,0.9
(CA),1970,834,3416,4.1,5.0,82.0,GOOD,0.9
(DE),1971,25,82,3.28,4.0,82.0,GOOD,0.72
(KY),1963,74,304,4.11,5.0,82.2,GOOD,0.89
(VT),1961,17,56,3.29,4.0,82.25,GOOD,0.71
(ND),1966,14,46,3.29,4.0,82.25,GOOD,0.71
(ID),1969,96,316,3.29,4.0,82.25,GOOD,0.71
(ID),1972,101,332,3.29,4.0,82.25,GOOD,0.71
(CT),1960,37,122,3.3,4.0,82.5,GOOD,0.7
(AZ),1962,46,152,3.3,4.0,82.5,GOOD,0.7
(VT),1974,20,66,3.3,4.0,82.5,GOOD,0.7
(GA),1960,315,1301,4.13,5.0,82.6,GOOD,0.87
(KY),1964,79,326,4.13,5.0,82.6,GOOD,0.87
(GA),1964,352,1455,4.13,5.0,82.6,GOOD,0.87
(ND),1960,13,43,3.31,4.0,82.75,GOOD,0.69
(MT),1962,13,43,3.31,4.0,82.75,GOOD,0.69
(DC),1967,13,43,3.31,4.0,82.75,GOOD,0.69
(DE),1970,29,96,3.31,4.0,82.75,GOOD,0.69
(GA),1962,325,1346,4.14,5.0,82.8,GOOD,0.86
(DE),1963,28,93,3.32,4.0,83.0,GOOD,0.68
(MT),1968,6,20,3.33,4.0,83.25,GOOD,0.67
(ND),1968,15,50,3.33,4.0,83.25,GOOD,0.67
(VT),1971,21,70,3.33,4.0,83.25,GOOD,0.67
(ON),1962,2,5,2.5,3.0,83.33,GOOD,0.5
(GA),1965,347,1447,4.17,5.0,83.4,GOOD,0.83
(IL),1964,262,878,3.35,4.0,83.75,GOOD,0.65
(NM),1968,31,104,3.35,4.0,83.75,GOOD,0.65
(CA),1972,834,3498,4.19,5.0,83.8,GOOD,0.81
(CA),1965,621,2612,4.21,5.0,84.2,GOOD,0.79
(TX),1961,1013,4271,4.22,5.0,84.4,GOOD,0.78
(GA),1968,363,1533,4.22,5.0,84.4,GOOD,0.78
(TX),1960,1016,4294,4.23,5.0,84.6,GOOD,0.77
(UT),1968,22,93,4.23,5.0,84.6,GOOD,0.77
(WA),1972,261,885,3.39,4.0,84.75,GOOD,0.61
(GA),1967,340,1442,4.24,5.0,84.8,GOOD,0.76
(CA),1974,874,3708,4.24,5.0,84.8,GOOD,0.76
(ND),1967,15,51,3.4,4.0,85.0,GOOD,0.6
(CA),1973,853,3626,4.25,5.0,85.0,GOOD,0.75
(GA),1963,328,1397,4.26,5.0,85.2,GOOD,0.74
(CA),1971,823,3505,4.26,5.0,85.2,GOOD,0.74
(VT),1967,17,58,3.41,4.0,85.25,GOOD,0.59
(CO),1970,164,559,3.41,4.0,85.25,GOOD,0.59
(GA),1966,344,1470,4.27,5.0,85.4,GOOD,0.73
(CA),1967,634,2708,4.27,5.0,85.4,GOOD,0.73
(TN),1971,214,914,4.27,5.0,85.4,GOOD,0.73
(VT),1973,26,89,3.42,4.0,85.5,GOOD,0.58
(TX),1963,1033,4435,4.29,5.0,85.8,GOOD,0.71
(VT),1960,18,62,3.44,4.0,86.0,GOOD,0.56
(MN),1961,63,217,3.44,4.0,86.0,GOOD,0.56
(DE),1968,34,117,3.44,4.0,86.0,GOOD,0.56
(TX),1968,1106,4769,4.31,5.0,86.2,GOOD,0.69
(WA),1962,207,715,3.45,4.0,86.25,GOOD,0.55
(TX),1967,1089,4700,4.32,5.0,86.4,GOOD,0.68
(WA),1960,186,644,3.46,4.0,86.5,GOOD,0.54
(WA),1973,250,865,3.46,4.0,86.5,GOOD,0.54
