State_Code,Season,Teams,Total_Games,Actual_Avg_Games,Expected_Games_Per_Team,Coverage_Pct,Priority,Games_Gap
(MI),1973,586,2379,4.06,4.0,101.5,GOOD,-0.06
(MS),1974,356,1809,5.08,5.0,101.6,GOOD,-0.08
(AZ),1965,75,305,4.07,4.0,101.75,GOOD,-0.07
(NC),1962,200,1018,5.09,5.0,101.8,GOOD,-0.09
(PA),1971,602,3067,5.09,5.0,101.8,GOOD,-0.09
(KS),1969,291,1186,4.08,4.0,102.0,GOOD,-0.08
(IL),1966,516,2112,4.09,4.0,102.25,GOOD,-0.09
(WY),1967,67,274,4.09,4.0,102.25,GOOD,-0.09
(VT),1970,22,90,4.09,4.0,102.25,GOOD,-0.09
(WY),1971,66,270,4.09,4.0,102.25,GOOD,-0.09
(WI),1971,388,1589,4.1,4.0,102.5,GOOD,-0.1
(KS),1974,315,1294,4.11,4.0,102.75,GOOD,-0.11
(MS),1971,368,1890,5.14,5.0,102.8,GOOD,-0.14
(NC),1973,294,1512,5.14,5.0,102.8,GOOD,-0.14
(VA),1973,291,1495,5.14,5.0,102.8,GOOD,-0.14
(MS),1973,355,1829,5.15,5.0,103.0,GOOD,-0.15
(UT),1970,68,351,5.16,5.0,103.2,GOOD,-0.16
(NC),1971,283,1459,5.16,5.0,103.2,GOOD,-0.16
(PA),1974,610,3154,5.17,5.0,103.4,GOOD,-0.17
(MN),1972,479,1983,4.14,4.0,103.5,GOOD,-0.14
(WI),1973,399,1651,4.14,4.0,103.5,GOOD,-0.14
(ME),1967,75,311,4.15,4.0,103.75,GOOD,-0.15
(WA),1969,256,1063,4.15,4.0,103.75,GOOD,-0.15
(MS),1960,250,1299,5.2,5.0,104.0,GOOD,-0.2
(MS),1964,261,1357,5.2,5.0,104.0,GOOD,-0.2
(NC),1974,291,1517,5.21,5.0,104.2,GOOD,-0.21
(VT),1962,18,75,4.17,4.0,104.25,GOOD,-0.17
(IA),1971,443,1856,4.19,4.0,104.75,GOOD,-0.19
(KS),1972,310,1300,4.19,4.0,104.75,GOOD,-0.19
(MS),1967,259,1358,5.24,5.0,104.8,GOOD,-0.24
(UT),1971,68,356,5.24,5.0,104.8,GOOD,-0.24
(NC),1964,216,1133,5.25,5.0,105.0,GOOD,-0.25
(VT),1966,15,63,4.2,4.0,105.0,GOOD,-0.2
(IA),1970,437,1836,4.2,4.0,105.0,GOOD,-0.2
(WY),1970,65,273,4.2,4.0,105.0,GOOD,-0.2
(WY),1968,67,282,4.21,4.0,105.25,GOOD,-0.21
(KS),1970,308,1297,4.21,4.0,105.25,GOOD,-0.21
(IA),1973,427,1796,4.21,4.0,105.25,GOOD,-0.21
(MS),1968,259,1366,5.27,5.0,105.4,GOOD,-0.27
(MS),1969,263,1386,5.27,5.0,105.4,GOOD,-0.27
(UT),1972,67,353,5.27,5.0,105.4,GOOD,-0.27
(IL),1967,538,2270,4.22,4.0,105.5,GOOD,-0.22
(IL),1969,544,2293,4.22,4.0,105.5,GOOD,-0.22
(SC),1971,221,1166,5.28,5.0,105.6,GOOD,-0.28
(MS),1965,258,1365,5.29,5.0,105.8,GOOD,-0.29
(MS),1966,256,1353,5.29,5.0,105.8,GOOD,-0.29
(WA),1968,250,1059,4.24,4.0,106.0,GOOD,-0.24
(DE),1972,25,106,4.24,4.0,106.0,GOOD,-0.24
(CO),1974,195,827,4.24,4.0,106.0,GOOD,-0.24
(IL),1972,519,2207,4.25,4.0,106.25,GOOD,-0.25
(KS),1973,299,1272,4.25,4.0,106.25,GOOD,-0.25
(IL),1965,533,2269,4.26,4.0,106.5,GOOD,-0.26
(OR),1966,136,580,4.26,4.0,106.5,GOOD,-0.26
(ME),1974,66,281,4.26,4.0,106.5,GOOD,-0.26
(SC),1974,221,1179,5.33,5.0,106.6,GOOD,-0.33
(NC),1969,245,1308,5.34,5.0,106.8,GOOD,-0.34
(SC),1972,222,1187,5.35,5.0,107.0,GOOD,-0.35
(SC),1973,221,1184,5.36,5.0,107.2,GOOD,-0.36
(AZ),1968,85,365,4.29,4.0,107.25,GOOD,-0.29
(IA),1972,456,1963,4.3,4.0,107.5,GOOD,-0.3
(ME),1972,67,288,4.3,4.0,107.5,GOOD,-0.3
(NE),1974,332,1429,4.3,4.0,107.5,GOOD,-0.3
(OR),1968,137,591,4.31,4.0,107.75,GOOD,-0.31
(MN),1974,485,2089,4.31,4.0,107.75,GOOD,-0.31
(OR),1965,136,588,4.32,4.0,108.0,GOOD,-0.32
(IL),1968,529,2292,4.33,4.0,108.25,GOOD,-0.33
(ME),1973,67,290,4.33,4.0,108.25,GOOD,-0.33
(NC),1966,226,1224,5.42,5.0,108.4,GOOD,-0.42
(UT),1973,70,380,5.43,5.0,108.6,GOOD,-0.43
(SC),1960,188,1025,5.45,5.0,109.0,GOOD,-0.45
(AZ),1969,105,459,4.37,4.0,109.25,GOOD,-0.37
(OR),1971,147,643,4.37,4.0,109.25,GOOD,-0.37
(MS),1963,252,1379,5.47,5.0,109.4,GOOD,-0.47
(SC),1970,215,1177,5.47,5.0,109.4,GOOD,-0.47
(MS),1962,242,1325,5.48,5.0,109.6,GOOD,-0.48
(NC),1965,220,1211,5.5,5.0,110.0,GOOD,-0.5
(SC),1966,202,1110,5.5,5.0,110.0,GOOD,-0.5
(NC),1968,241,1329,5.51,5.0,110.2,GOOD,-0.51
(IA),1974,414,1825,4.41,4.0,110.25,GOOD,-0.41
(SC),1965,205,1132,5.52,5.0,110.4,GOOD,-0.52
(SC),1968,205,1131,5.52,5.0,110.4,GOOD,-0.52
(SC),1969,198,1093,5.52,5.0,110.4,GOOD,-0.52
(OR),1961,132,583,4.42,4.0,110.5,GOOD,-0.42
(ME),1968,66,293,4.44,4.0,111.0,GOOD,-0.44
(OR),1970,138,613,4.44,4.0,111.0,GOOD,-0.44
(SC),1961,189,1052,5.57,5.0,111.4,GOOD,-0.57
(NC),1967,233,1299,5.58,5.0,111.6,GOOD,-0.58
(OR),1969,139,621,4.47,4.0,111.75,GOOD,-0.47
(SC),1964,201,1126,5.6,5.0,112.0,GOOD,-0.6
(HI),1968,6,27,4.5,4.0,112.5,GOOD,-0.5
(ME),1970,68,307,4.51,4.0,112.75,GOOD,-0.51
(SC),1963,196,1110,5.66,5.0,113.2,GOOD,-0.66
(OR),1962,125,566,4.53,4.0,113.25,GOOD,-0.53
(VT),1965,15,68,4.53,4.0,113.25,GOOD,-0.53
(SC),1962,196,1112,5.67,5.0,113.4,GOOD,-0.67
(OR),1974,152,690,4.54,4.0,113.5,GOOD,-0.54
(VT),1972,22,100,4.55,4.0,113.75,GOOD,-0.55
(NH),1973,36,164,4.56,4.0,114.0,GOOD,-0.56
(SC),1967,198,1131,5.71,5.0,114.2,GOOD,-0.71
(OR),1964,124,570,4.6,4.0,115.0,GOOD,-0.6
(MN),1973,501,2304,4.6,4.0,115.0,GOOD,-0.6
(OR),1963,123,567,4.61,4.0,115.25,GOOD,-0.61
(ME),1969,69,318,4.61,4.0,115.25,GOOD,-0.61
(OR),1972,151,696,4.61,4.0,115.25,GOOD,-0.61
(AZ),1966,75,348,4.64,4.0,116.0,GOOD,-0.64
(ME),1963,69,321,4.65,4.0,116.25,GOOD,-0.65
(ME),1966,68,316,4.65,4.0,116.25,GOOD,-0.65
(OR),1960,117,545,4.66,4.0,116.5,GOOD,-0.66
(HI),1974,32,149,4.66,4.0,116.5,GOOD,-0.66
(HI),1962,6,28,4.67,4.0,116.75,GOOD,-0.67
(OR),1973,154,719,4.67,4.0,116.75,GOOD,-0.67
(AZ),1967,76,357,4.7,4.0,117.5,GOOD,-0.7
(ME),1971,66,310,4.7,4.0,117.5,GOOD,-0.7
(AZ),1970,105,500,4.76,4.0,119.0,GOOD,-0.76
(AZ),1973,107,514,4.8,4.0,120.0,GOOD,-0.8
(NJ),1962,287,1384,4.82,4.0,120.5,GOOD,-0.82
(NV),1963,6,29,4.83,4.0,120.75,GOOD,-0.83
(NJ),1960,265,1283,4.84,4.0,121.0,GOOD,-0.84
(AZ),1971,102,494,4.84,4.0,121.0,GOOD,-0.84
(WV),1960,190,922,4.85,4.0,121.25,GOOD,-0.85
(NJ),1961,276,1347,4.88,4.0,122.0,GOOD,-0.88
(WV),1962,189,924,4.89,4.0,122.25,GOOD,-0.89
(NJ),1965,311,1522,4.89,4.0,122.25,GOOD,-0.89
(NJ),1967,327,1598,4.89,4.0,122.25,GOOD,-0.89
(NJ),1963,294,1446,4.92,4.0,123.0,GOOD,-0.92
(WV),1965,184,906,4.92,4.0,123.0,GOOD,-0.92
(AZ),1974,108,531,4.92,4.0,123.0,GOOD,-0.92
(NJ),1964,305,1503,4.93,4.0,123.25,GOOD,-0.93
(NJ),1971,345,1701,4.93,4.0,123.25,GOOD,-0.93
(WV),1966,185,913,4.94,4.0,123.5,GOOD,-0.94
(WV),1964,186,920,4.95,4.0,123.75,GOOD,-0.95
(WV),1963,181,898,4.96,4.0,124.0,GOOD,-0.96
(NJ),1968,328,1628,4.96,4.0,124.0,GOOD,-0.96
(AZ),1972,99,491,4.96,4.0,124.0,GOOD,-0.96
(NJ),1969,333,1655,4.97,4.0,124.25,GOOD,-0.97
(NJ),1970,339,1684,4.97,4.0,124.25,GOOD,-0.97
(NJ),1973,346,1724,4.98,4.0,124.5,GOOD,-0.98
(WV),1961,185,925,5.0,4.0,125.0,GOOD,-1.0
(BC),1962,1,5,5.0,4.0,125.0,GOOD,-1.0
(BC),1967,1,5,5.0,4.0,125.0,GOOD,-1.0
(WV),1969,173,865,5.0,4.0,125.0,GOOD,-1.0
(NH),1970,37,185,5.0,4.0,125.0,GOOD,-1.0
(WV),1971,173,866,5.01,4.0,125.25,GOOD,-1.01
(NJ),1972,343,1717,5.01,4.0,125.25,GOOD,-1.01
(NJ),1966,310,1559,5.03,4.0,125.75,GOOD,-1.03
(WV),1968,175,881,5.03,4.0,125.75,GOOD,-1.03
(WV),1970,168,847,5.04,4.0,126.0,GOOD,-1.04
(NJ),1974,346,1766,5.1,4.0,127.5,GOOD,-1.1
(WV),1967,182,930,5.11,4.0,127.75,GOOD,-1.11
(HI),1973,29,150,5.17,4.0,129.25,GOOD,-1.17
(WV),1974,166,864,5.2,4.0,130.0,GOOD,-1.2
(WV),1973,170,895,5.26,4.0,131.5,GOOD,-1.26
(WV),1972,164,866,5.28,4.0,132.0,GOOD,-1.28
(MX),1971,3,4,1.33,1.0,133.0,GOOD,-0.33
(MX),1963,2,3,1.5,1.0,150.0,GOOD,-0.5
(BC),1963,1,7,7.0,4.0,175.0,GOOD,-3.0
(MX),1961,1,2,2.0,1.0,200.0,GOOD,-1.0
(BC),1961,1,9,9.0,4.0,225.0,GOOD,-5.0
